Gen: 2
     id:63 |fitness:[63, 0.7183328782631242]
     id:42 |fitness:[42, 0.7133062792560334]
     id:0 |fitness:[0, 0.7121612346436776]
     id:99 |fitness:[99, 0.710496916549133]
     id:52 |fitness:[52, 0.7096129897943052]
     id:53 |fitness:[53, 0.70709499470436]
     id:88 |fitness:[88, 0.6916932759048687]
     id:81 |fitness:[81, 0.6832788434233713]
     id:25 |fitness:[25, 0.6490227316897205]
     id:49 |fitness:[49, 0.602079456611127]

Gen: 3
     id:28 |fitness:[28, 0.6916932759048687]
     id:88 |fitness:[88, 0.6916932759048687]
     id:35 |fitness:[35, 0.6868714053587088]
     id:81 |fitness:[81, 0.6832788434233713]
     id:27 |fitness:[27, 0.6635137676587289]
     id:41 |fitness:[41, 0.6621138573655416]
     id:14 |fitness:[14, 0.6524027828057207]
     id:25 |fitness:[25, 0.6490227316897205]
     id:49 |fitness:[49, 0.602079456611127]
     id:66 |fitness:[66, 0.5989951883103145]

Gen: 4
     id:41 |fitness:[41, 0.6621138573655416]
     id:85 |fitness:[85, 0.661953704676346]
     id:32 |fitness:[32, 0.6600708708970888]
     id:69 |fitness:[69, 0.659893455749802]
     id:14 |fitness:[14, 0.6524027828057207]
     id:25 |fitness:[25, 0.6490227316897205]
     id:21 |fitness:[21, 0.602079456611127]
     id:49 |fitness:[49, 0.602079456611127]
     id:86 |fitness:[86, 0.602079456611127]
     id:66 |fitness:[66, 0.5989951883103145]

Gen: 5
     id:49 |fitness:[49, 0.602079456611127]
     id:70 |fitness:[70, 0.602079456611127]
     id:76 |fitness:[76, 0.602079456611127]
     id:86 |fitness:[86, 0.602079456611127]
     id:90 |fitness:[90, 0.602079456611127]
     id:93 |fitness:[93, 0.602079456611127]
     id:94 |fitness:[94, 0.602079456611127]
     id:98 |fitness:[98, 0.602079456611127]
     id:55 |fitness:[55, 0.5989951883103145]
     id:66 |fitness:[66, 0.5989951883103145]

Gen: 6
     id:77 |fitness:[77, 0.602079456611127]
     id:86 |fitness:[86, 0.602079456611127]
     id:90 |fitness:[90, 0.602079456611127]
     id:93 |fitness:[93, 0.602079456611127]
     id:94 |fitness:[94, 0.602079456611127]
     id:98 |fitness:[98, 0.602079456611127]
     id:29 |fitness:[29, 0.5989951883103145]
     id:55 |fitness:[55, 0.5989951883103145]
     id:66 |fitness:[66, 0.5989951883103145]
     id:82 |fitness:[82, 0.5989951883103145]

Gen: 7
     id:98 |fitness:[98, 0.602079456611127]
     id:99 |fitness:[99, 0.602079456611127]
     id:29 |fitness:[29, 0.5989951883103145]
     id:50 |fitness:[50, 0.5989951883103145]
     id:52 |fitness:[52, 0.5989951883103145]
     id:55 |fitness:[55, 0.5989951883103145]
     id:66 |fitness:[66, 0.5989951883103145]
     id:71 |fitness:[71, 0.5989951883103145]
     id:82 |fitness:[82, 0.5989951883103145]
     id:0 |fitness:[0, 0.5493273407154322]

Gen: 8
     id:52 |fitness:[52, 0.5989951883103145]
     id:53 |fitness:[53, 0.5989951883103145]
     id:55 |fitness:[55, 0.5989951883103145]
