Gen: 2
     id:40 |fitness:[40, 0.909027768247299]
     id:36 |fitness:[36, 0.8939466655627515]
     id:31 |fitness:[31, 0.8837001215574711]
     id:11 |fitness:[11, 0.8678327146951298]
     id:71 |fitness:[71, 0.8647712648289863]
     id:12 |fitness:[12, 0.8590841108187321]
     id:15 |fitness:[15, 0.8525949784110938]
     id:91 |fitness:[91, 0.833764565243585]
     id:6 |fitness:[6, 0.827724037862606]
     id:42 |fitness:[42, 0.7434896401573088]

Gen: 3
     id:80 |fitness:[80, 0.8525949784110938]
     id:32 |fitness:[32, 0.833764565243585]
     id:91 |fitness:[91, 0.833764565243585]
     id:6 |fitness:[6, 0.827724037862606]
     id:62 |fitness:[62, 0.827724037862606]
     id:66 |fitness:[66, 0.827724037862606]
     id:69 |fitness:[69, 0.7969874667633641]
     id:98 |fitness:[98, 0.7747983378248386]
     id:41 |fitness:[41, 0.7434896401573088]
     id:42 |fitness:[42, 0.7434896401573088]

Gen: 4
     id:59 |fitness:[59, 0.7943402774727786]
     id:84 |fitness:[84, 0.7787966385825558]
     id:55 |fitness:[55, 0.7747983378248386]
     id:67 |fitness:[67, 0.7747983378248386]
     id:76 |fitness:[76, 0.7747983378248386]
     id:86 |fitness:[86, 0.7747983378248386]
     id:98 |fitness:[98, 0.7747983378248386]
     id:41 |fitness:[41, 0.7434896401573088]
     id:42 |fitness:[42, 0.7434896401573088]
     id:52 |fitness:[52, 0.7434896401573088]

Gen: 5
     id:86 |fitness:[86, 0.7747983378248386]
     id:95 |fitness:[95, 0.7747983378248386]
     id:98 |fitness:[98, 0.7747983378248386]
     id:99 |fitness:[99, 0.7747983378248386]
     id:41 |fitness:[41, 0.7434896401573088]
     id:42 |fitness:[42, 0.7434896401573088]
     id:43 |fitness:[43, 0.7434896401573088]
     id:46 |fitness:[46, 0.7434896401573088]
     id:52 |fitness:[52, 0.7434896401573088]
     id:57 |fitness:[57, 0.7322778878414145]

Gen: 6
     id:18 |fitness:[18, 0.7434896401573088]
     id:41 |fitness:[41, 0.7434896401573088]
     id:42 |fitness:[42, 0.7434896401573088]
     id:43 |fitness:[43, 0.7434896401573088]
     id:46 |fitness:[46, 0.7434896401573088]
     id:52 |fitness:[52, 0.7434896401573088]
     id:65 |fitness:[65, 0.7434896401573088]
     id:78 |fitness:[78, 0.7434896401573088]
     id:44 |fitness:[44, 0.7322778878414145]
     id:57 |fitness:[57, 0.7322778878414145]

Gen: 7
     id:78 |fitness:[78, 0.7434896401573088]
     id:81 |fitness:[81, 0.7434896401573088]
     id:88 |fitness:[88, 0.7434896401573088]
     id:93 |fitness:[93, 0.7434896401573088]
     id:22 |fitness:[22, 0.7322778878414145]
     id:44 |fitness:[44, 0.7322778878414145]
     id:49 |fitness:[49, 0.7322778878414145]
     id:57 |fitness:[57, 0.7322778878414145]
     id:72 |fitness:[72, 0.7322778878414145]
     id:85 |fitness:[85, 0.7322778878414145]

Gen: 8
     id:57 |fitness:[57, 0.7322778878414145]
     id:60 |fitness:[60, 0.7322778878414145]
     id:61 |fitness:[61, 0.7322778878414145]
