Gen: 1
     id: 0| fitness:0.3684347032576171 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.18935987981845095 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6266448062358817 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.15745840313269888 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.5991625357152274 | w: [0.21823769400554538, 0.6213490784447421, 0.16041322754971254]
     id: 5| fitness:0.1427557574066755 | w: [0.8613718521533261, 0.017011180436354557, 0.12161696741031933]
     id: 6| fitness:0.28790877413603827 | w: [0.7466970607885867, 0.22992436868528024, 0.023378570526133097]
     id: 7| fitness:0.4992572036385576 | w: [0.21356463670756243, 0.5782142675599088, 0.20822109573252878]
     id: 8| fitness:0.24886761269022023 | w: [0.11816960428718815, 0.19425303755862305, 0.6875773581541889]
     id: 9| fitness:0.3926673939647598 | w: [0.355924926891276, 0.3936081869181286, 0.25046688619059543]
     id: 10| fitness:0.28469981691794843 | w: [0.4752506432718564, 0.2717394139663307, 0.2530099427618129]
     id: 11| fitness:0.3467476106894646 | w: [0.2888451745916567, 0.3187236131694871, 0.3924312122388562]
     id: 12| fitness:0.3676970367407485 | w: [0.5047303922307431, 0.3720782744089272, 0.12319133336032967]
     id: 13| fitness:0.6084263599984732 | w: [0.06380978342134203, 0.5944907971018347, 0.34169941947682325]
     id: 14| fitness:0.19933362447286257 | w: [0.7493787483641785, 0.11102145116028447, 0.13959980047553702]
     id: 15| fitness:0.11528005890601528 | w: [0.983956524600419, 0.008641027148101492, 0.007402448251479461]
     id: 16| fitness:0.1659323864989992 | w: [0.8881109387937635, 0.0561029277449982, 0.05578613346123834]
     id: 17| fitness:0.5422602177490794 | w: [0.05508533971434537, 0.6199180453757651, 0.3249966149098895]
     id: 18| fitness:0.4527003738543942 | w: [0.14783705038673756, 0.40538923052631876, 0.4467737190869437]
     id: 19| fitness:0.5434708415420851 | w: [0.04910602154652721, 0.5051567651494496, 0.44573721330402316]

Gen: 2
     id: 0| fitness:0.3684347032576171 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15576262124382312 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6266448062358817 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.15745840313269888 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.5991625357152274 | w: [0.21823769400554538, 0.6213490784447421, 0.16041322754971254]
     id: 5| fitness:0.1353887166350124 | w: [0.8613718521533261, 0.017011180436354557, 0.12161696741031933]
     id: 6| fitness:0.28790877413603827 | w: [0.7466970607885867, 0.22992436868528024, 0.023378570526133097]
     id: 7| fitness:0.4992572036385576 | w: [0.21356463670756243, 0.5782142675599088, 0.20822109573252878]
     id: 8| fitness:0.24886761269022023 | w: [0.11816960428718815, 0.19425303755862305, 0.6875773581541889]
     id: 9| fitness:0.3926673939647598 | w: [0.355924926891276, 0.3936081869181286, 0.25046688619059543]
     id: 10| fitness:0.28469981691794843 | w: [0.4752506432718564, 0.2717394139663307, 0.2530099427618129]
     id: 11| fitness:0.3467476106894646 | w: [0.2888451745916567, 0.3187236131694871, 0.3924312122388562]
     id: 12| fitness:0.3676970367407485 | w: [0.5047303922307431, 0.3720782744089272, 0.12319133336032967]
     id: 13| fitness:0.6084263599984732 | w: [0.06380978342134203, 0.5944907971018347, 0.34169941947682325]
     id: 14| fitness:0.19933362447286257 | w: [0.7493787483641785, 0.11102145116028447, 0.13959980047553702]
     id: 15| fitness:0.11528005890601528 | w: [0.983956524600419, 0.008641027148101492, 0.007402448251479461]
     id: 16| fitness:0.15909148535927722 | w: [0.8881109387937635, 0.0561029277449982, 0.05578613346123834]
     id: 17| fitness:0.5422602177490794 | w: [0.05508533971434537, 0.6199180453757651, 0.3249966149098895]
     id: 18| fitness:0.4527003738543942 | w: [0.14783705038673756, 0.40538923052631876, 0.4467737190869437]
     id: 19| fitness:0.5434708415420851 | w: [0.04910602154652721, 0.5051567651494496, 0.44573721330402316]

Gen: 3
     id: 0| fitness:0.3684347032576171 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15576262124382312 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6266448062358817 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.15745840313269888 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.5991625357152274 | w: [0.21823769400554538, 0.6213490784447421, 0.16041322754971254]
     id: 5| fitness:0.1353887166350124 | w: [0.8613718521533261, 0.017011180436354557, 0.12161696741031933]
     id: 6| fitness:0.28790877413603827 | w: [0.7466970607885867, 0.22992436868528024, 0.023378570526133097]
     id: 7| fitness:0.4992572036385576 | w: [0.21356463670756243, 0.5782142675599088, 0.20822109573252878]
     id: 8| fitness:0.24886761269022023 | w: [0.11816960428718815, 0.19425303755862305, 0.6875773581541889]
     id: 9| fitness:0.3926673939647598 | w: [0.355924926891276, 0.3936081869181286, 0.25046688619059543]
     id: 10| fitness:0.28469981691794843 | w: [0.4752506432718564, 0.2717394139663307, 0.2530099427618129]
     id: 11| fitness:0.3467476106894646 | w: [0.2888451745916567, 0.3187236131694871, 0.3924312122388562]
     id: 12| fitness:0.3676970367407485 | w: [0.5047303922307431, 0.3720782744089272, 0.12319133336032967]
     id: 13| fitness:0.6084263599984732 | w: [0.06380978342134203, 0.5944907971018347, 0.34169941947682325]
     id: 14| fitness:0.19933362447286257 | w: [0.7493787483641785, 0.11102145116028447, 0.13959980047553702]
     id: 15| fitness:0.11528005890601528 | w: [0.983956524600419, 0.008641027148101492, 0.007402448251479461]
     id: 16| fitness:0.15909148535927722 | w: [0.8881109387937635, 0.0561029277449982, 0.05578613346123834]
     id: 17| fitness:0.5422602177490794 | w: [0.05508533971434537, 0.6199180453757651, 0.3249966149098895]
     id: 18| fitness:0.44340555428370915 | w: [0.14783705038673756, 0.40538923052631876, 0.4467737190869437]
     id: 19| fitness:0.5227109368862879 | w: [0.04910602154652721, 0.5051567651494496, 0.44573721330402316]

Gen: 4
     id: 0| fitness:0.3684347032576171 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15576262124382312 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6266448062358817 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.15745840313269888 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.5991625357152274 | w: [0.21823769400554538, 0.6213490784447421, 0.16041322754971254]
     id: 5| fitness:0.1353887166350124 | w: [0.8613718521533261, 0.017011180436354557, 0.12161696741031933]
     id: 6| fitness:0.28790877413603827 | w: [0.7466970607885867, 0.22992436868528024, 0.023378570526133097]
     id: 7| fitness:0.4992572036385576 | w: [0.21356463670756243, 0.5782142675599088, 0.20822109573252878]
     id: 8| fitness:0.24886761269022023 | w: [0.11816960428718815, 0.19425303755862305, 0.6875773581541889]
     id: 9| fitness:0.3926673939647598 | w: [0.355924926891276, 0.3936081869181286, 0.25046688619059543]
     id: 10| fitness:0.28469981691794843 | w: [0.4752506432718564, 0.2717394139663307, 0.2530099427618129]
     id: 11| fitness:0.3467476106894646 | w: [0.2888451745916567, 0.3187236131694871, 0.3924312122388562]
     id: 12| fitness:0.3676970367407485 | w: [0.5047303922307431, 0.3720782744089272, 0.12319133336032967]
