Gen: 2
     id:40 |fitness:[40, 0.6828364149759087]
     id:86 |fitness:[86, 0.6771858843360735]
     id:63 |fitness:[63, 0.6736957693327549]
     id:24 |fitness:[24, 0.6699154869227719]
     id:75 |fitness:[75, 0.6698972102261894]
     id:94 |fitness:[94, 0.6465504588853386]
     id:60 |fitness:[60, 0.6450376539725321]
     id:51 |fitness:[51, 0.6322387338980251]
     id:72 |fitness:[72, 0.6079653236311057]
     id:77 |fitness:[77, 0.5896291839414692]

Gen: 3
     id:60 |fitness:[60, 0.6450376539725321]
     id:64 |fitness:[64, 0.6450376539725321]
     id:56 |fitness:[56, 0.644157799686876]
     id:51 |fitness:[51, 0.6322387338980251]
     id:13 |fitness:[13, 0.620830582428489]
     id:97 |fitness:[97, 0.6104776182002084]
     id:72 |fitness:[72, 0.6079653236311057]
     id:93 |fitness:[93, 0.6079653236311057]
     id:8 |fitness:[8, 0.5896291839414692]
     id:77 |fitness:[77, 0.5896291839414692]

Gen: 4
     id:16 |fitness:[16, 0.6079653236311057]
     id:26 |fitness:[26, 0.6079653236311057]
     id:72 |fitness:[72, 0.6079653236311057]
     id:93 |fitness:[93, 0.6079653236311057]
     id:8 |fitness:[8, 0.5896291839414692]
     id:11 |fitness:[11, 0.5896291839414692]
     id:27 |fitness:[27, 0.5896291839414692]
     id:35 |fitness:[35, 0.5896291839414692]
     id:44 |fitness:[44, 0.5896291839414692]
     id:77 |fitness:[77, 0.5896291839414692]

Gen: 5
     id:35 |fitness:[35, 0.5896291839414692]
     id:44 |fitness:[44, 0.5896291839414692]
     id:71 |fitness:[71, 0.5896291839414692]
     id:77 |fitness:[77, 0.5896291839414692]
     id:83 |fitness:[83, 0.5896291839414692]
     id:84 |fitness:[84, 0.5896291839414692]
     id:89 |fitness:[89, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 6
     id:74 |fitness:[74, 0.5896291839414692]
     id:77 |fitness:[77, 0.5896291839414692]
     id:78 |fitness:[78, 0.5896291839414692]
     id:83 |fitness:[83, 0.5896291839414692]
     id:84 |fitness:[84, 0.5896291839414692]
     id:88 |fitness:[88, 0.5896291839414692]
     id:89 |fitness:[89, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 7
     id:84 |fitness:[84, 0.5896291839414692]
     id:86 |fitness:[86, 0.5896291839414692]
     id:87 |fitness:[87, 0.5896291839414692]
     id:88 |fitness:[88, 0.5896291839414692]
     id:89 |fitness:[89, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 8
     id:89 |fitness:[89, 0.5896291839414692]
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 9
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 10
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 11
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 12
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 13
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 14
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 15
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 16
     id:90 |fitness:[90, 0.5896291839414692]
     id:91 |fitness:[91, 0.5896291839414692]
     id:92 |fitness:[92, 0.5896291839414692]
     id:93 |fitness:[93, 0.5896291839414692]
     id:94 |fitness:[94, 0.5896291839414692]
     id:95 |fitness:[95, 0.5896291839414692]
     id:96 |fitness:[96, 0.5896291839414692]
     id:97 |fitness:[97, 0.5896291839414692]
     id:98 |fitness:[98, 0.5896291839414692]
     id:99 |fitness:[99, 0.5896291839414692]

Gen: 17
