Gen: 2
     id:1 |Total fit:0.7404728917557554 |fitness:[0.13591105646716373, 0.5161078735588688, 0.08845396172972282]
     id:2 |Total fit:0.8982231841446646 |fitness:[0.13535410854179475, 0.6831361369694829, 0.07973293863338693]
     id:5 |Total fit:0.72203150490949 |fitness:[0.1456707807253984, 0.5020350328380299, 0.07432569134606169]
     id:16 |Total fit:0.9032816506664105 |fitness:[0.1380784245729628, 0.6770814938150138, 0.08812173227843384]
     id:21 |Total fit:0.8406987697108322 |fitness:[0.12461709830130882, 0.6257599838542849, 0.09032168755523846]
     id:32 |Total fit:0.9264816291996723 |fitness:[0.12967560410460113, 0.7087758688833388, 0.08803015621173238]
     id:36 |Total fit:0.7904132864283244 |fitness:[0.11268737882441954, 0.5794882144689153, 0.0982376931349895]
     id:44 |Total fit:0.6588517915477187 |fitness:[0.15058610887806517, 0.43976891445293775, 0.06849676821671583]
     id:48 |Total fit:0.9613042476848306 |fitness:[0.10274244310987111, 0.7477526341902335, 0.11080917038472596]

Gen: 3
     id:0 |Total fit:0.8550442446164046 |fitness:[0.10747255980622415, 0.6546667003035731, 0.09290498450660732]
     id:1 |Total fit:0.7404728917557554 |fitness:[0.13591105646716373, 0.5161078735588688, 0.08845396172972282]
     id:2 |Total fit:0.8982231841446646 |fitness:[0.13535410854179475, 0.6831361369694829, 0.07973293863338693]
     id:5 |Total fit:0.72203150490949 |fitness:[0.1456707807253984, 0.5020350328380299, 0.07432569134606169]
     id:28 |Total fit:0.7434440262944304 |fitness:[0.12965458720175702, 0.5303615126516814, 0.083427926440992]
     id:29 |Total fit:0.801897441608769 |fitness:[0.12216731556354198, 0.5907607827308122, 0.08896934331441471]
     id:36 |Total fit:0.7904132864283244 |fitness:[0.11268737882441954, 0.5794882144689153, 0.0982376931349895]
     id:44 |Total fit:0.6588517915477187 |fitness:[0.15058610887806517, 0.43976891445293775, 0.06849676821671583]
     id:48 |Total fit:0.9613042476848306 |fitness:[0.10274244310987111, 0.7477526341902335, 0.11080917038472596]

Gen: 4
     id:0 |Total fit:0.8550442446164046 |fitness:[0.10747255980622415, 0.6546667003035731, 0.09290498450660732]
     id:1 |Total fit:0.7404728917557554 |fitness:[0.13591105646716373, 0.5161078735588688, 0.08845396172972282]
     id:2 |Total fit:0.8982231841446646 |fitness:[0.13535410854179475, 0.6831361369694829, 0.07973293863338693]
     id:5 |Total fit:0.72203150490949 |fitness:[0.1456707807253984, 0.5020350328380299, 0.07432569134606169]
     id:28 |Total fit:0.7434440262944304 |fitness:[0.12965458720175702, 0.5303615126516814, 0.083427926440992]
     id:29 |Total fit:0.801897441608769 |fitness:[0.12216731556354198, 0.5907607827308122, 0.08896934331441471]
     id:30 |Total fit:0.8382908870112302 |fitness:[0.11053183272647027, 0.6348924039456091, 0.0928666503391509]
