Gen: 2
     id:20 |fitness:[20, 0.6952998313310933]
     id:6 |fitness:[6, 0.6900695854133218]
     id:64 |fitness:[64, 0.6891092505638671]
     id:67 |fitness:[67, 0.6775304394513957]
     id:23 |fitness:[23, 0.674011635645206]
     id:13 |fitness:[13, 0.6651174354164121]
     id:46 |fitness:[46, 0.6634598716212822]
     id:81 |fitness:[81, 0.6606593581883422]
     id:97 |fitness:[97, 0.6496546151740235]
     id:12 |fitness:[12, 0.6415997584007662]

Gen: 3
     id:63 |fitness:[63, 0.6655501148670934]
     id:13 |fitness:[13, 0.6651174354164121]
     id:46 |fitness:[46, 0.6634598716212822]
     id:81 |fitness:[81, 0.6606593581883422]
     id:43 |fitness:[43, 0.6525432481280224]
     id:90 |fitness:[90, 0.6525432481280224]
     id:82 |fitness:[82, 0.6496546151740235]
     id:97 |fitness:[97, 0.6496546151740235]
     id:12 |fitness:[12, 0.6415997584007662]
     id:61 |fitness:[61, 0.6196323098007699]

Gen: 4
     id:66 |fitness:[66, 0.6525432481280224]
     id:90 |fitness:[90, 0.6525432481280224]
     id:82 |fitness:[82, 0.6496546151740235]
     id:97 |fitness:[97, 0.6496546151740235]
     id:12 |fitness:[12, 0.6415997584007662]
     id:71 |fitness:[71, 0.6364938263196801]
     id:83 |fitness:[83, 0.6264912858033741]
     id:61 |fitness:[61, 0.6196323098007699]
     id:79 |fitness:[79, 0.6196323098007699]
     id:35 |fitness:[35, 0.5957540129536992]

Gen: 5
     id:99 |fitness:[99, 0.6264912858033741]
     id:44 |fitness:[44, 0.6196323098007699]
     id:53 |fitness:[53, 0.6196323098007699]
     id:61 |fitness:[61, 0.6196323098007699]
     id:65 |fitness:[65, 0.6196323098007699]
     id:79 |fitness:[79, 0.6196323098007699]
     id:10 |fitness:[10, 0.612737261676533]
     id:35 |fitness:[35, 0.5957540129536992]
     id:74 |fitness:[74, 0.5931934155544757]
     id:50 |fitness:[50, 0.5925648951078883]

Gen: 6
     id:53 |fitness:[53, 0.6196323098007699]
     id:61 |fitness:[61, 0.6196323098007699]
     id:65 |fitness:[65, 0.6196323098007699]
     id:79 |fitness:[79, 0.6196323098007699]
     id:85 |fitness:[85, 0.6196323098007699]
     id:92 |fitness:[92, 0.6196323098007699]
     id:10 |fitness:[10, 0.612737261676533]
     id:35 |fitness:[35, 0.5957540129536992]
     id:74 |fitness:[74, 0.5931934155544757]
     id:50 |fitness:[50, 0.5925648951078883]

Gen: 7
     id:92 |fitness:[92, 0.6196323098007699]
     id:98 |fitness:[98, 0.6196323098007699]
     id:10 |fitness:[10, 0.612737261676533]
     id:35 |fitness:[35, 0.5957540129536992]
     id:31 |fitness:[31, 0.5931934155544757]
     id:47 |fitness:[47, 0.5931934155544757]
     id:74 |fitness:[74, 0.5931934155544757]
     id:80 |fitness:[80, 0.5931934155544757]
     id:50 |fitness:[50, 0.5925648951078883]
     id:59 |fitness:[59, 0.5925648951078883]

Gen: 8
     id:55 |fitness:[55, 0.5931934155544757]
     id:60 |fitness:[60, 0.5931934155544757]
     id:74 |fitness:[74, 0.5931934155544757]
     id:75 |fitness:[75, 0.5931934155544757]
     id:80 |fitness:[80, 0.5931934155544757]
     id:86 |fitness:[86, 0.5931934155544757]
     id:88 |fitness:[88, 0.5931934155544757]
     id:27 |fitness:[27, 0.5925648951078883]
     id:50 |fitness:[50, 0.5925648951078883]
     id:59 |fitness:[59, 0.5925648951078883]

Gen: 9
     id:80 |fitness:[80, 0.5931934155544757]
     id:82 |fitness:[82, 0.5931934155544757]
     id:84 |fitness:[84, 0.5931934155544757]
     id:86 |fitness:[86, 0.5931934155544757]
     id:88 |fitness:[88, 0.5931934155544757]
     id:97 |fitness:[97, 0.5931934155544757]
     id:15 |fitness:[15, 0.5925648951078883]
     id:27 |fitness:[27, 0.5925648951078883]
     id:50 |fitness:[50, 0.5925648951078883]
     id:59 |fitness:[59, 0.5925648951078883]
