Gen: 2
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:9 |Total fit:0.835794659915183 |fitness:[0.13739942319809995, 0.612581150301773, 0.08581408641531003]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:31 |Total fit:0.8375257836381258 |fitness:[0.12993492802093937, 0.6108510118506474, 0.09673984376653894]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:45 |Total fit:0.8424035297903135 |fitness:[0.14258458145509184, 0.5961248102654881, 0.10369413806973347]

Gen: 3
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:9 |Total fit:0.835794659915183 |fitness:[0.13739942319809995, 0.612581150301773, 0.08581408641531003]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:31 |Total fit:0.8375257836381258 |fitness:[0.12993492802093937, 0.6108510118506474, 0.09673984376653894]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:41 |Total fit:0.8713190136453659 |fitness:[0.1424167514904755, 0.645914350136769, 0.08298791201812139]
     id:45 |Total fit:0.8424035297903135 |fitness:[0.14258458145509184, 0.5961248102654881, 0.10369413806973347]

Gen: 4
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:9 |Total fit:0.835794659915183 |fitness:[0.13739942319809995, 0.612581150301773, 0.08581408641531003]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:31 |Total fit:0.8375257836381258 |fitness:[0.12993492802093937, 0.6108510118506474, 0.09673984376653894]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]

Gen: 5
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:9 |Total fit:0.835794659915183 |fitness:[0.13739942319809995, 0.612581150301773, 0.08581408641531003]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:31 |Total fit:0.8375257836381258 |fitness:[0.12993492802093937, 0.6108510118506474, 0.09673984376653894]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]

Gen: 6
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:9 |Total fit:0.835794659915183 |fitness:[0.13739942319809995, 0.612581150301773, 0.08581408641531003]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:31 |Total fit:0.8375257836381258 |fitness:[0.12993492802093937, 0.6108510118506474, 0.09673984376653894]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]

Gen: 7
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:2 |Total fit:0.8226608144569492 |fitness:[0.1321270175948815, 0.6064175320696381, 0.08411626479242966]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:32 |Total fit:0.9429758784674516 |fitness:[0.11376872182637777, 0.725544773339848, 0.10366238330122574]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:41 |Total fit:0.7752145576390111 |fitness:[0.1260118268624885, 0.5631240212903148, 0.08607870948620784]

Gen: 8
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:2 |Total fit:0.8226608144569492 |fitness:[0.1321270175948815, 0.6064175320696381, 0.08411626479242966]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:32 |Total fit:0.9429758784674516 |fitness:[0.11376872182637777, 0.725544773339848, 0.10366238330122574]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:41 |Total fit:0.7752145576390111 |fitness:[0.1260118268624885, 0.5631240212903148, 0.08607870948620784]

Gen: 9
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:2 |Total fit:0.8226608144569492 |fitness:[0.1321270175948815, 0.6064175320696381, 0.08411626479242966]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:23 |Total fit:0.9618911094010172 |fitness:[0.11497261402743444, 0.7457096971857216, 0.10120879818786122]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:32 |Total fit:0.9429758784674516 |fitness:[0.11376872182637777, 0.725544773339848, 0.10366238330122574]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:34 |Total fit:0.8138717950727946 |fitness:[0.1364627259948621, 0.5915992166317569, 0.08580985244617567]
     id:41 |Total fit:0.7752145576390111 |fitness:[0.1260118268624885, 0.5631240212903148, 0.08607870948620784]

Gen: 10
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:2 |Total fit:0.8226608144569492 |fitness:[0.1321270175948815, 0.6064175320696381, 0.08411626479242966]
     id:3 |Total fit:0.8529186691326289 |fitness:[0.1148962725994862, 0.6343240244942749, 0.10369837203886784]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
     id:5 |Total fit:0.742188384985192 |fitness:[0.15679681062478795, 0.5096098778089719, 0.07578169655143215]
     id:6 |Total fit:0.7505561926898169 |fitness:[0.14577092724540738, 0.5317852866142552, 0.07299997883015433]
     id:7 |Total fit:0.7425711165870863 |fitness:[0.14438769327710727, 0.5184768373709906, 0.07970658593898851]
     id:18 |Total fit:0.9506319887501147 |fitness:[0.11462907760166739, 0.7121762498448082, 0.12382666130363909]
     id:23 |Total fit:0.9618911094010172 |fitness:[0.11497261402743444, 0.7457096971857216, 0.10120879818786122]
     id:28 |Total fit:1.0031810341313787 |fitness:[0.11329370849692211, 0.7796876939897713, 0.11019963164468531]
     id:32 |Total fit:0.9429758784674516 |fitness:[0.11376872182637777, 0.725544773339848, 0.10366238330122574]
     id:33 |Total fit:0.8201745493873245 |fitness:[0.11630071251999419, 0.61217665033982, 0.09169718652751022]
     id:34 |Total fit:0.8138717950727946 |fitness:[0.1364627259948621, 0.5915992166317569, 0.08580985244617567]
     id:41 |Total fit:0.7752145576390111 |fitness:[0.1260118268624885, 0.5631240212903148, 0.08607870948620784]

Gen: 11
     id:0 |Total fit:0.9992480698791595 |fitness:[0.11036546943919345, 0.7712692888410075, 0.11761331159895845]
     id:1 |Total fit:0.8436701683611378 |fitness:[0.13416036546943919, 0.6259016143953927, 0.08360818849630586]
     id:2 |Total fit:0.8226608144569492 |fitness:[0.1321270175948815, 0.6064175320696381, 0.08411626479242966]
     id:3 |Total fit:0.8529186691326289 |fitness:[0.1148962725994862, 0.6343240244942749, 0.10369837203886784]
     id:4 |Total fit:0.7754435070444341 |fitness:[0.13853060927730115, 0.5541409181748641, 0.08277197959226877]
