Gen: 2
     id:0 |Total fit:0.6618251616154014 |fitness:[0.19005705566782727, 0.426219873168114, 0.04554823277946004]
     id:1 |Total fit:0.6435148156705645 |fitness:[0.16405168285813998, 0.431688380274192, 0.047774752538232525]
     id:6 |Total fit:0.9428556171339271 |fitness:[0.1519437883989514, 0.7258932107888023, 0.06501861794617335]
     id:20 |Total fit:0.9193622914523967 |fitness:[0.15333974499444053, 0.7045430346807269, 0.061479511777229275]
     id:30 |Total fit:0.6692987145946991 |fitness:[0.17252927856638503, 0.45553004910583095, 0.04123938692248318]
     id:36 |Total fit:0.6391557881232766 |fitness:[0.19202478634559664, 0.40734415393591966, 0.03978684784176018]
     id:42 |Total fit:0.6620704595019613 |fitness:[0.18348510303295917, 0.433724164072249, 0.0448611923967531]
     id:46 |Total fit:0.8362435438794605 |fitness:[0.15647293710890897, 0.6184225656838402, 0.06134804108671128]
     id:49 |Total fit:0.9149265525645354 |fitness:[0.15555988410313848, 0.695079621293106, 0.06428704716829096]

Gen: 3
     id:0 |Total fit:0.6618251616154014 |fitness:[0.19005705566782727, 0.426219873168114, 0.04554823277946004]
     id:1 |Total fit:0.6435148156705645 |fitness:[0.16405168285813998, 0.431688380274192, 0.047774752538232525]
     id:6 |Total fit:0.9428556171339271 |fitness:[0.1519437883989514, 0.7258932107888023, 0.06501861794617335]
     id:20 |Total fit:0.9193622914523967 |fitness:[0.15333974499444053, 0.7045430346807269, 0.061479511777229275]
     id:30 |Total fit:0.6692987145946991 |fitness:[0.17252927856638503, 0.45553004910583095, 0.04123938692248318]
     id:36 |Total fit:0.6391557881232766 |fitness:[0.19202478634559664, 0.40734415393591966, 0.03978684784176018]
     id:42 |Total fit:0.6620704595019613 |fitness:[0.18348510303295917, 0.433724164072249, 0.0448611923967531]
     id:46 |Total fit:0.8362435438794605 |fitness:[0.15647293710890897, 0.6184225656838402, 0.06134804108671128]
     id:49 |Total fit:0.9149265525645354 |fitness:[0.15555988410313848, 0.695079621293106, 0.06428704716829096]

Gen: 4
     id:0 |Total fit:0.6618251616154014 |fitness:[0.19005705566782727, 0.426219873168114, 0.04554823277946004]
