Gen: 2
     id:67 |fitness:[67, 1.0439173191244402]
     id:55 |fitness:[55, 1.0158462103179826]
     id:64 |fitness:[64, 1.0116048602670336]
     id:80 |fitness:[80, 1.005420762914099]
     id:62 |fitness:[62, 0.9961727472818297]
     id:8 |fitness:[8, 0.9905073097324394]
     id:1 |fitness:[1, 0.9895894581555363]
     id:2 |fitness:[2, 0.9888137790434449]
     id:34 |fitness:[34, 0.9823989340191632]
     id:11 |fitness:[11, 0.9701509352554394]

Gen: 3
     id:52 |fitness:[52, 0.9891424013368597]
     id:2 |fitness:[2, 0.9888137790434449]
     id:21 |fitness:[21, 0.9888137790434449]
     id:70 |fitness:[70, 0.9888137790434449]
     id:29 |fitness:[29, 0.9823989340191632]
     id:34 |fitness:[34, 0.9823989340191632]
     id:78 |fitness:[78, 0.9823989340191632]
     id:86 |fitness:[86, 0.9823989340191632]
     id:11 |fitness:[11, 0.9701509352554394]
     id:71 |fitness:[71, 0.9701509352554394]

Gen: 4
     id:78 |fitness:[78, 0.9823989340191632]
     id:84 |fitness:[84, 0.9823989340191632]
     id:86 |fitness:[86, 0.9823989340191632]
     id:97 |fitness:[97, 0.9823989340191632]
     id:11 |fitness:[11, 0.9701509352554394]
     id:36 |fitness:[36, 0.9701509352554394]
     id:57 |fitness:[57, 0.9701509352554394]
     id:71 |fitness:[71, 0.9701509352554394]
     id:74 |fitness:[74, 0.9701509352554394]
     id:75 |fitness:[75, 0.9701509352554394]

Gen: 5
     id:57 |fitness:[57, 0.9701509352554394]
     id:58 |fitness:[58, 0.9701509352554394]
     id:71 |fitness:[71, 0.9701509352554394]
     id:72 |fitness:[72, 0.9701509352554394]
     id:74 |fitness:[74, 0.9701509352554394]
     id:75 |fitness:[75, 0.9701509352554394]
     id:90 |fitness:[90, 0.9701509352554394]
     id:98 |fitness:[98, 0.9701509352554394]
     id:33 |fitness:[33, 0.7961382605178059]
     id:47 |fitness:[47, 0.7961382605178059]

Gen: 6
     id:82 |fitness:[82, 0.9701509352554394]
     id:90 |fitness:[90, 0.9701509352554394]
     id:94 |fitness:[94, 0.9701509352554394]
     id:96 |fitness:[96, 0.9701509352554394]
     id:98 |fitness:[98, 0.9701509352554394]
     id:33 |fitness:[33, 0.7961382605178059]
     id:37 |fitness:[37, 0.7961382605178059]
     id:47 |fitness:[47, 0.7961382605178059]
     id:55 |fitness:[55, 0.7961382605178059]
     id:88 |fitness:[88, 0.7961382605178059]

Gen: 7
     id:27 |fitness:[27, 0.7961382605178059]
     id:33 |fitness:[33, 0.7961382605178059]
     id:37 |fitness:[37, 0.7961382605178059]
     id:40 |fitness:[40, 0.7961382605178059]
     id:44 |fitness:[44, 0.7961382605178059]
     id:46 |fitness:[46, 0.7961382605178059]
     id:47 |fitness:[47, 0.7961382605178059]
     id:55 |fitness:[55, 0.7961382605178059]
     id:79 |fitness:[79, 0.7961382605178059]
     id:88 |fitness:[88, 0.7961382605178059]

Gen: 8
     id:48 |fitness:[48, 0.7961382605178059]
     id:50 |fitness:[50, 0.7961382605178059]
     id:55 |fitness:[55, 0.7961382605178059]
     id:68 |fitness:[68, 0.7961382605178059]
     id:70 |fitness:[70, 0.7961382605178059]
     id:73 |fitness:[73, 0.7961382605178059]
     id:79 |fitness:[79, 0.7961382605178059]
     id:81 |fitness:[81, 0.7961382605178059]
     id:88 |fitness:[88, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 9
     id:79 |fitness:[79, 0.7961382605178059]
     id:81 |fitness:[81, 0.7961382605178059]
     id:83 |fitness:[83, 0.7961382605178059]
     id:84 |fitness:[84, 0.7961382605178059]
     id:85 |fitness:[85, 0.7961382605178059]
     id:86 |fitness:[86, 0.7961382605178059]
     id:88 |fitness:[88, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 10
     id:80 |fitness:[80, 0.7961382605178059]
     id:81 |fitness:[81, 0.7961382605178059]
     id:83 |fitness:[83, 0.7961382605178059]
     id:84 |fitness:[84, 0.7961382605178059]
     id:85 |fitness:[85, 0.7961382605178059]
     id:86 |fitness:[86, 0.7961382605178059]
     id:88 |fitness:[88, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 11
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 12
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 13
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 14
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 15
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 16
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 17
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 18
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 19
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 20
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 21
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 22
     id:90 |fitness:[90, 0.7961382605178059]
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]

Gen: 23
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]
     id:22 |fitness:[22, 0.7922829299920428]

Gen: 24
     id:91 |fitness:[91, 0.7961382605178059]
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]
     id:22 |fitness:[22, 0.7922829299920428]

Gen: 25
     id:92 |fitness:[92, 0.7961382605178059]
     id:93 |fitness:[93, 0.7961382605178059]
     id:94 |fitness:[94, 0.7961382605178059]
     id:95 |fitness:[95, 0.7961382605178059]
     id:96 |fitness:[96, 0.7961382605178059]
     id:97 |fitness:[97, 0.7961382605178059]
     id:98 |fitness:[98, 0.7961382605178059]
     id:99 |fitness:[99, 0.7961382605178059]
     id:10 |fitness:[10, 0.7922829299920428]
     id:22 |fitness:[22, 0.7922829299920428]

Gen: 26
     id:99 |fitness:[99, 0.7961382605178059]
     id:0 |fitness:[0, 0.7922829299920428]
     id:2 |fitness:[2, 0.7922829299920428]
     id:6 |fitness:[6, 0.7922829299920428]
     id:10 |fitness:[10, 0.7922829299920428]
     id:11 |fitness:[11, 0.7922829299920428]
     id:15 |fitness:[15, 0.7922829299920428]
     id:19 |fitness:[19, 0.7922829299920428]
     id:22 |fitness:[22, 0.7922829299920428]
     id:25 |fitness:[25, 0.7922829299920428]

Gen: 27
     id:27 |fitness:[27, 0.7922829299920428]
     id:28 |fitness:[28, 0.7922829299920428]
     id:32 |fitness:[32, 0.7922829299920428]
     id:33 |fitness:[33, 0.7922829299920428]
     id:36 |fitness:[36, 0.7922829299920428]
     id:37 |fitness:[37, 0.7922829299920428]
     id:38 |fitness:[38, 0.7922829299920428]
     id:39 |fitness:[39, 0.7922829299920428]
     id:40 |fitness:[40, 0.7922829299920428]
     id:41 |fitness:[41, 0.7922829299920428]

Gen: 28
     id:46 |fitness:[46, 0.7922829299920428]
     id:47 |fitness:[47, 0.7922829299920428]
