Gen: 2
     id:20 |Total fit:1.103895566987963 |fitness:[0.09636760946647975, 0.8545051968965013, 0.15302276062498202]
     id:21 |Total fit:1.1134854025640655 |fitness:[0.08940793271212996, 0.8758600497730933, 0.14821742007884212]
     id:22 |Total fit:1.0739302533736403 |fitness:[0.09832440009895276, 0.8424279022105109, 0.1331779510641767]
     id:26 |Total fit:1.0713788157638677 |fitness:[0.10517028119073142, 0.8257026789635485, 0.14050585560958767]
     id:27 |Total fit:1.0817137397960614 |fitness:[0.0939494516368434, 0.8293990630947152, 0.15836522506450282]
     id:44 |Total fit:1.2337635924477375 |fitness:[0.09339201781149502, 1.0, 0.14037157463624245]
     id:47 |Total fit:1.091482906787104 |fitness:[0.10244660674527913, 0.8257026789635485, 0.1633336210782762]

Gen: 3
     id:4 |Total fit:1.1043601890066577 |fitness:[0.0969089634699431, 0.8545051968965013, 0.1529460286402133]
     id:20 |Total fit:1.103895566987963 |fitness:[0.09636760946647975, 0.8545051968965013, 0.15302276062498202]
     id:21 |Total fit:1.1134854025640655 |fitness:[0.08940793271212996, 0.8758600497730933, 0.14821742007884212]
     id:22 |Total fit:1.0739302533736403 |fitness:[0.09832440009895276, 0.8424279022105109, 0.1331779510641767]
     id:26 |Total fit:1.0713788157638677 |fitness:[0.10517028119073142, 0.8257026789635485, 0.14050585560958767]
     id:27 |Total fit:1.0817137397960614 |fitness:[0.0939494516368434, 0.8293990630947152, 0.15836522506450282]
     id:44 |Total fit:1.2337635924477375 |fitness:[0.09339201781149502, 1.0, 0.14037157463624245]
     id:45 |Total fit:1.081975505893607 |fitness:[0.09910653912756659, 0.8257026789635485, 0.15716628780249187]

Gen: 4
     id:1 |Total fit:1.0874857829918947 |fitness:[0.10170693493856683, 0.8293990630947152, 0.15637978495861268]
     id:4 |Total fit:1.1043601890066577 |fitness:[0.0969089634699431, 0.8545051968965013, 0.1529460286402133]
     id:19 |Total fit:1.0782849366244487 |fitness:[0.10383730518677331, 0.8257026789635485, 0.14874495247412695]
     id:20 |Total fit:1.103895566987963 |fitness:[0.09636760946647975, 0.8545051968965013, 0.15302276062498202]
     id:21 |Total fit:1.1134854025640655 |fitness:[0.08940793271212996, 0.8758600497730933, 0.14821742007884212]
     id:22 |Total fit:1.0739302533736403 |fitness:[0.09832440009895276, 0.8424279022105109, 0.1331779510641767]
     id:26 |Total fit:1.0713788157638677 |fitness:[0.10517028119073142, 0.8257026789635485, 0.14050585560958767]
     id:27 |Total fit:1.0817137397960614 |fitness:[0.0939494516368434, 0.8293990630947152, 0.15836522506450282]
     id:44 |Total fit:1.2337635924477375 |fitness:[0.09339201781149502, 1.0, 0.14037157463624245]
     id:45 |Total fit:1.081975505893607 |fitness:[0.09910653912756659, 0.8257026789635485, 0.15716628780249187]

