Gen: 1
     id: 0| fitness:0.36843028400533406 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.19495371185260313 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.2787437131379842 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.4486161543207864 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.377268176776637 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.3041292649235867 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.22133559772052402 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.11892991827841003 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.17225437115563388 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen:new 2
     continue len = 0

Gen: 3
     id: 0| fitness:0.36843028400533406 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.19495371185260313 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.2787437131379842 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.44735482283520933 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.377268176776637 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.3041292649235867 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.22133559772052402 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.11892991827841003 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.17225437115563388 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen:new 4
     continue len = 0

Gen: 5
     id: 0| fitness:0.36843028400533406 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.19495371185260313 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.2787437131379842 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.44735482283520933 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.377268176776637 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.3041292649235867 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.22133559772052402 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.10853207364448754 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.17225437115563388 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen: 6
     id: 0| fitness:0.36843028400533406 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.19495371185260313 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.2787437131379842 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.44735482283520933 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.377268176776637 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.3041292649235867 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.21746088589436016 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.10853207364448754 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.1695385558553274 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen: 7
     id: 0| fitness:0.3267262248458419 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.19495371185260313 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.2787437131379842 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.34057639461975675 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.3195730612028092 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.3041292649235867 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.21746088589436016 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.10853207364448754 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.1695385558553274 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen: 8
     id: 0| fitness:0.3267262248458419 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14219317626991387 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9145617275786196 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.15433513397746618 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.1570018477338161 | w: [0.9386491726196015, 0.06009583279421549, 0.0012549945861830558]
     id: 5| fitness:0.7865610034657222 | w: [0.13871791705927627, 0.7561820406321579, 0.10510004230856584]
     id: 6| fitness:0.20197483793577548 | w: [0.050329994844740655, 0.13547973892132173, 0.8141902662339376]
     id: 7| fitness:0.3799267648814443 | w: [0.5220132978281516, 0.44180499895117503, 0.03618170322067332]
     id: 8| fitness:0.38641704194706755 | w: [0.3981420623798987, 0.44548432491177636, 0.15637361270832495]
     id: 9| fitness:0.34057639461975675 | w: [0.26814853506448555, 0.3533718797848965, 0.37847958515061797]
     id: 10| fitness:0.3195730612028092 | w: [0.26003735607619816, 0.31685830876013593, 0.4231043351636659]
     id: 11| fitness:0.12582596311047933 | w: [0.9575157935985296, 0.034690902448281116, 0.0077933039531893206]
     id: 12| fitness:0.263879504414933 | w: [0.17982363643534038, 0.25057139696218816, 0.5696049666024714]
     id: 13| fitness:0.21746088589436016 | w: [0.8346861193784249, 0.12573546221095375, 0.0395784184106214]
     id: 14| fitness:0.10853207364448754 | w: [0.9890113790765459, 0.009441179188118305, 0.0015474417353357906]
     id: 15| fitness:0.10123533067408659 | w: [0.9945474066168611, 0.0013764331256005363, 0.004076160257538323]
     id: 16| fitness:0.24150555997648124 | w: [0.5066034408076686, 0.2053983839354893, 0.2879981752568421]
     id: 17| fitness:0.3610258747414007 | w: [0.14722124773953316, 0.2866614486504299, 0.5661173036100369]
     id: 18| fitness:0.31022998026739185 | w: [0.4096496450898722, 0.20124028094541999, 0.38911007396470776]
     id: 19| fitness:0.1695385558553274 | w: [0.902525049251215, 0.07435566144904068, 0.0231192892997443]

Gen:new 9
     continue len = 0

