Gen: 2
     id:8 |fitness:[8, 0.7177384212027691]
     id:27 |fitness:[27, 0.7150086455639935]
     id:76 |fitness:[76, 0.7120978509934311]
     id:23 |fitness:[23, 0.7057326945016507]
     id:35 |fitness:[35, 0.7032659414735519]
     id:53 |fitness:[53, 0.6977627883410777]
     id:34 |fitness:[34, 0.6893866914430865]
     id:69 |fitness:[69, 0.6696815630906546]
     id:85 |fitness:[85, 0.6301811515889855]
     id:56 |fitness:[56, 0.6295440296449499]

Gen: 3
     id:26 |fitness:[26, 0.686093442356894]
     id:24 |fitness:[24, 0.6841243444332731]
     id:69 |fitness:[69, 0.6696815630906546]
     id:93 |fitness:[93, 0.6696815630906546]
     id:95 |fitness:[95, 0.6696815630906546]
     id:50 |fitness:[50, 0.6683234224076285]
     id:57 |fitness:[57, 0.6657074482428391]
     id:5 |fitness:[5, 0.6301811515889855]
     id:85 |fitness:[85, 0.6301811515889855]
     id:56 |fitness:[56, 0.6295440296449499]

Gen: 4
     id:57 |fitness:[57, 0.6657074482428391]
     id:3 |fitness:[3, 0.6301811515889855]
     id:5 |fitness:[5, 0.6301811515889855]
     id:7 |fitness:[7, 0.6301811515889855]
     id:10 |fitness:[10, 0.6301811515889855]
     id:52 |fitness:[52, 0.6301811515889855]
     id:63 |fitness:[63, 0.6301811515889855]
     id:68 |fitness:[68, 0.6301811515889855]
     id:85 |fitness:[85, 0.6301811515889855]
     id:56 |fitness:[56, 0.6295440296449499]

Gen: 5
     id:63 |fitness:[63, 0.6301811515889855]
     id:64 |fitness:[64, 0.6301811515889855]
     id:68 |fitness:[68, 0.6301811515889855]
     id:72 |fitness:[72, 0.6301811515889855]
     id:85 |fitness:[85, 0.6301811515889855]
     id:94 |fitness:[94, 0.6301811515889855]
     id:96 |fitness:[96, 0.6301811515889855]
     id:56 |fitness:[56, 0.6295440296449499]
     id:90 |fitness:[90, 0.6295440296449499]
     id:9 |fitness:[9, 0.603721505427106]

Gen: 6
     id:0 |fitness:[0, 0.6295440296449499]
     id:1 |fitness:[1, 0.6295440296449499]
     id:29 |fitness:[29, 0.6295440296449499]
     id:56 |fitness:[56, 0.6295440296449499]
     id:62 |fitness:[62, 0.6295440296449499]
     id:83 |fitness:[83, 0.6295440296449499]
     id:90 |fitness:[90, 0.6295440296449499]
     id:9 |fitness:[9, 0.603721505427106]
     id:70 |fitness:[70, 0.603721505427106]
     id:71 |fitness:[71, 0.603721505427106]

Gen: 7
     id:27 |fitness:[27, 0.603721505427106]
     id:33 |fitness:[33, 0.603721505427106]
     id:35 |fitness:[35, 0.603721505427106]
     id:37 |fitness:[37, 0.603721505427106]
     id:45 |fitness:[45, 0.603721505427106]
     id:70 |fitness:[70, 0.603721505427106]
     id:71 |fitness:[71, 0.603721505427106]
     id:76 |fitness:[76, 0.603721505427106]
     id:80 |fitness:[80, 0.603721505427106]
     id:91 |fitness:[91, 0.603721505427106]

Gen: 8
     id:70 |fitness:[70, 0.603721505427106]
     id:71 |fitness:[71, 0.603721505427106]
     id:74 |fitness:[74, 0.603721505427106]
     id:76 |fitness:[76, 0.603721505427106]
     id:78 |fitness:[78, 0.603721505427106]
