Gen: 2
     id:3 |Total fit:0.7547930308400963 |fitness:[0.106427224399315, 0.5884097019522502, 0.05995610448853122]
     id:5 |Total fit:0.6660042070050713 |fitness:[0.12950776399146907, 0.48709534419132167, 0.04940109882228056]
     id:8 |Total fit:0.727928637151886 |fitness:[0.12153562085666558, 0.5489386690616418, 0.05745434723357863]
     id:14 |Total fit:0.658532053957462 |fitness:[0.12372285492157213, 0.4835662101245272, 0.05124298891136263]
     id:27 |Total fit:0.8237961474219447 |fitness:[0.10629064538835717, 0.6590269261990708, 0.058478575834516794]
     id:32 |Total fit:0.729591048878522 |fitness:[0.11100918756500636, 0.5631358054543256, 0.05544605585919009]
     id:48 |Total fit:0.7188109385634657 |fitness:[0.13079016210877992, 0.5414140716304829, 0.04660670482420278]

Gen: 3
     id:3 |Total fit:0.7547930308400963 |fitness:[0.106427224399315, 0.5884097019522502, 0.05995610448853122]
     id:8 |Total fit:0.727928637151886 |fitness:[0.12153562085666558, 0.5489386690616418, 0.05745434723357863]
     id:14 |Total fit:0.658532053957462 |fitness:[0.12372285492157213, 0.4835662101245272, 0.05124298891136263]
     id:27 |Total fit:0.8237961474219447 |fitness:[0.10629064538835717, 0.6590269261990708, 0.058478575834516794]
     id:32 |Total fit:0.729591048878522 |fitness:[0.11100918756500636, 0.5631358054543256, 0.05544605585919009]
     id:34 |Total fit:0.634508776900132 |fitness:[0.12556141853061997, 0.4635198074808431, 0.045427550888668934]

Gen: 4
     id:3 |Total fit:0.7547930308400963 |fitness:[0.106427224399315, 0.5884097019522502, 0.05995610448853122]
     id:14 |Total fit:0.658532053957462 |fitness:[0.12372285492157213, 0.4835662101245272, 0.05124298891136263]
     id:22 |Total fit:0.7070631077517187 |fitness:[0.11822751962010022, 0.5414198287823048, 0.047415759349313594]
     id:23 |Total fit:0.6320059717762954 |fitness:[0.1256093525104273, 0.4548437796853141, 0.051552839580554004]
     id:27 |Total fit:0.8237961474219447 |fitness:[0.10629064538835717, 0.6590269261990708, 0.058478575834516794]
     id:32 |Total fit:0.729591048878522 |fitness:[0.11100918756500636, 0.5631358054543256, 0.05544605585919009]
     id:34 |Total fit:0.634508776900132 |fitness:[0.12556141853061997, 0.4635198074808431, 0.045427550888668934]

Gen: 5
     id:3 |Total fit:0.7547930308400963 |fitness:[0.106427224399315, 0.5884097019522502, 0.05995610448853122]
     id:14 |Total fit:0.658532053957462 |fitness:[0.12372285492157213, 0.4835662101245272, 0.05124298891136263]
     id:22 |Total fit:0.7070631077517187 |fitness:[0.11822751962010022, 0.5414198287823048, 0.047415759349313594]
     id:23 |Total fit:0.6320059717762954 |fitness:[0.1256093525104273, 0.4548437796853141, 0.051552839580554004]
     id:27 |Total fit:0.8237961474219447 |fitness:[0.10629064538835717, 0.6590269261990708, 0.058478575834516794]
     id:32 |Total fit:0.729591048878522 |fitness:[0.11100918756500636, 0.5631358054543256, 0.05544605585919009]
     id:34 |Total fit:0.634508776900132 |fitness:[0.12556141853061997, 0.4635198074808431, 0.045427550888668934]

Gen: 6
     id:3 |Total fit:0.7547930308400963 |fitness:[0.106427224399315, 0.5884097019522502, 0.05995610448853122]
     id:14 |Total fit:0.658532053957462 |fitness:[0.12372285492157213, 0.4835662101245272, 0.05124298891136263]
     id:22 |Total fit:0.7070631077517187 |fitness:[0.11822751962010022, 0.5414198287823048, 0.047415759349313594]
     id:23 |Total fit:0.6320059717762954 |fitness:[0.1256093525104273, 0.4548437796853141, 0.051552839580554004]
     id:27 |Total fit:0.8237961474219447 |fitness:[0.10629064538835717, 0.6590269261990708, 0.058478575834516794]
     id:32 |Total fit:0.729591048878522 |fitness:[0.11100918756500636, 0.5631358054543256, 0.05544605585919009]
