Gen: 2
     id:14 |Total fit:0.8663114938876025 |fitness:[0.10179806238650291, 0.6929481901892434, 0.07156524131185622]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:25 |Total fit:0.6553613516577892 |fitness:[0.1296881569413259, 0.4769737418326414, 0.04869945288382187]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:37 |Total fit:0.6714417782628344 |fitness:[0.11468283431883851, 0.49981607020862895, 0.05694287373536693]
     id:42 |Total fit:0.6850765410330877 |fitness:[0.12007702147834722, 0.5168777479986687, 0.048121771556071766]
     id:43 |Total fit:0.7288808365362912 |fitness:[0.1140338321987351, 0.5656921307244498, 0.04915487361310634]
     id:45 |Total fit:0.7104169556999647 |fitness:[0.11397702774025602, 0.5394573195298404, 0.05698260842986826]
     id:46 |Total fit:0.8094280685733479 |fitness:[0.10372941397479134, 0.6407354856038444, 0.06496316899471223]
     id:47 |Total fit:0.7827094890796236 |fitness:[0.10411407408732679, 0.6118380717151015, 0.06675734327719535]

Gen: 3
     id:14 |Total fit:0.8663114938876025 |fitness:[0.10179806238650291, 0.6929481901892434, 0.07156524131185622]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:25 |Total fit:0.6553613516577892 |fitness:[0.1296881569413259, 0.4769737418326414, 0.04869945288382187]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:31 |Total fit:0.9054103578758582 |fitness:[0.09948920715288898, 0.7289458779290089, 0.07697527279396033]
     id:37 |Total fit:0.6714417782628344 |fitness:[0.11468283431883851, 0.49981607020862895, 0.05694287373536693]
     id:42 |Total fit:0.6850765410330877 |fitness:[0.12007702147834722, 0.5168777479986687, 0.048121771556071766]
     id:43 |Total fit:0.7288808365362912 |fitness:[0.1140338321987351, 0.5656921307244498, 0.04915487361310634]
     id:45 |Total fit:0.7104169556999647 |fitness:[0.11397702774025602, 0.5394573195298404, 0.05698260842986826]
     id:46 |Total fit:0.8094280685733479 |fitness:[0.10372941397479134, 0.6407354856038444, 0.06496316899471223]
     id:47 |Total fit:0.7827094890796236 |fitness:[0.10411407408732679, 0.6118380717151015, 0.06675734327719535]

Gen: 4
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:25 |Total fit:0.6553613516577892 |fitness:[0.1296881569413259, 0.4769737418326414, 0.04869945288382187]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:32 |Total fit:0.7656295849781203 |fitness:[0.11149954824800737, 0.5977251096279947, 0.05640492710211816]
     id:37 |Total fit:0.6714417782628344 |fitness:[0.11468283431883851, 0.49981607020862895, 0.05694287373536693]
     id:42 |Total fit:0.6850765410330877 |fitness:[0.12007702147834722, 0.5168777479986687, 0.048121771556071766]
     id:43 |Total fit:0.7288808365362912 |fitness:[0.1140338321987351, 0.5656921307244498, 0.04915487361310634]
     id:45 |Total fit:0.7104169556999647 |fitness:[0.11397702774025602, 0.5394573195298404, 0.05698260842986826]

Gen: 5
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:4 |Total fit:0.7423899434033109 |fitness:[0.1090475636701942, 0.5717413771962093, 0.061601002536907416]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:8 |Total fit:0.9418939570717726 |fitness:[0.09860001610205123, 0.7631918533700025, 0.0801020875997188]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:21 |Total fit:0.770433518514074 |fitness:[0.10269396262535, 0.6085623697163978, 0.05917718617232631]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:25 |Total fit:0.6553613516577892 |fitness:[0.1296881569413259, 0.4769737418326414, 0.04869945288382187]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:32 |Total fit:0.7656295849781203 |fitness:[0.11149954824800737, 0.5977251096279947, 0.05640492710211816]
     id:37 |Total fit:0.6714417782628344 |fitness:[0.11468283431883851, 0.49981607020862895, 0.05694287373536693]
     id:42 |Total fit:0.6850765410330877 |fitness:[0.12007702147834722, 0.5168777479986687, 0.048121771556071766]
     id:43 |Total fit:0.7288808365362912 |fitness:[0.1140338321987351, 0.5656921307244498, 0.04915487361310634]
     id:45 |Total fit:0.7104169556999647 |fitness:[0.11397702774025602, 0.5394573195298404, 0.05698260842986826]

Gen: 6
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:4 |Total fit:0.7423899434033109 |fitness:[0.1090475636701942, 0.5717413771962093, 0.061601002536907416]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:8 |Total fit:0.9418939570717726 |fitness:[0.09860001610205123, 0.7631918533700025, 0.0801020875997188]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:21 |Total fit:0.770433518514074 |fitness:[0.10269396262535, 0.6085623697163978, 0.05917718617232631]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:25 |Total fit:0.6553613516577892 |fitness:[0.1296881569413259, 0.4769737418326414, 0.04869945288382187]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:32 |Total fit:0.7656295849781203 |fitness:[0.11149954824800737, 0.5977251096279947, 0.05640492710211816]
     id:37 |Total fit:0.6714417782628344 |fitness:[0.11468283431883851, 0.49981607020862895, 0.05694287373536693]
     id:42 |Total fit:0.6850765410330877 |fitness:[0.12007702147834722, 0.5168777479986687, 0.048121771556071766]
     id:43 |Total fit:0.7288808365362912 |fitness:[0.1140338321987351, 0.5656921307244498, 0.04915487361310634]
     id:45 |Total fit:0.7104169556999647 |fitness:[0.11397702774025602, 0.5394573195298404, 0.05698260842986826]

Gen: 7
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:4 |Total fit:0.7423899434033109 |fitness:[0.1090475636701942, 0.5717413771962093, 0.061601002536907416]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:8 |Total fit:0.9418939570717726 |fitness:[0.09860001610205123, 0.7631918533700025, 0.0801020875997188]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:21 |Total fit:0.770433518514074 |fitness:[0.10269396262535, 0.6085623697163978, 0.05917718617232631]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:27 |Total fit:0.6137172417761385 |fitness:[0.11227378854428512, 0.4586858654334612, 0.042757587798392276]
     id:28 |Total fit:0.7157755023234005 |fitness:[0.11159794967214434, 0.5485428673194714, 0.0556346853317847]
     id:32 |Total fit:0.7656295849781203 |fitness:[0.11149954824800737, 0.5977251096279947, 0.05640492710211816]

Gen: 8
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:4 |Total fit:0.7423899434033109 |fitness:[0.1090475636701942, 0.5717413771962093, 0.061601002536907416]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:8 |Total fit:0.9418939570717726 |fitness:[0.09860001610205123, 0.7631918533700025, 0.0801020875997188]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:21 |Total fit:0.770433518514074 |fitness:[0.10269396262535, 0.6085623697163978, 0.05917718617232631]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
     id:27 |Total fit:0.6137172417761385 |fitness:[0.11227378854428512, 0.4586858654334612, 0.042757587798392276]
     id:29 |Total fit:0.6802506220027512 |fitness:[0.10940449247229106, 0.5257472512714512, 0.04509887825900908]

Gen: 9
     id:3 |Total fit:0.7743132839501551 |fitness:[0.10163033268626942, 0.6084105546505042, 0.06427239661338142]
     id:4 |Total fit:0.7423899434033109 |fitness:[0.1090475636701942, 0.5717413771962093, 0.061601002536907416]
     id:5 |Total fit:0.8484089988687337 |fitness:[0.09933221215347043, 0.6843764780072521, 0.06470030870801112]
     id:8 |Total fit:0.9418939570717726 |fitness:[0.09860001610205123, 0.7631918533700025, 0.0801020875997188]
     id:19 |Total fit:0.7595067080993528 |fitness:[0.10528773470976052, 0.5952435172047343, 0.05897545618485803]
     id:20 |Total fit:0.7459469436403584 |fitness:[0.10599890863875049, 0.5829990482363177, 0.05694898676529021]
     id:21 |Total fit:0.770433518514074 |fitness:[0.10269396262535, 0.6085623697163978, 0.05917718617232631]
     id:22 |Total fit:0.7241838224120589 |fitness:[0.1091759328007729, 0.55815976783973, 0.05684812177155607]
