Gen: 2
     id:16 |fitness:[16, 0.7331002520047064]
     id:98 |fitness:[98, 0.7302993314832665]
     id:74 |fitness:[74, 0.7203736708691527]
     id:56 |fitness:[56, 0.7198085305649118]
     id:30 |fitness:[30, 0.7193683733473598]
     id:80 |fitness:[80, 0.7135870724670247]
     id:55 |fitness:[55, 0.7091680417793372]
     id:44 |fitness:[44, 0.6965661689458783]
     id:54 |fitness:[54, 0.6955363106541564]
     id:53 |fitness:[53, 0.6425913721140105]

Gen: 3
     id:88 |fitness:[88, 0.7141840491383729]
     id:80 |fitness:[80, 0.7135870724670247]
     id:55 |fitness:[55, 0.7091680417793372]
     id:39 |fitness:[39, 0.6965661689458783]
     id:44 |fitness:[44, 0.6965661689458783]
     id:54 |fitness:[54, 0.6955363106541564]
     id:4 |fitness:[4, 0.6425913721140105]
     id:53 |fitness:[53, 0.6425913721140105]
     id:79 |fitness:[79, 0.6425913721140105]
     id:33 |fitness:[33, 0.6337968274909428]

Gen: 4
     id:34 |fitness:[34, 0.6951669566674239]
     id:25 |fitness:[25, 0.6951221396143009]
     id:65 |fitness:[65, 0.6865309497933189]
     id:4 |fitness:[4, 0.6425913721140105]
     id:10 |fitness:[10, 0.6425913721140105]
     id:13 |fitness:[13, 0.6425913721140105]
     id:53 |fitness:[53, 0.6425913721140105]
     id:79 |fitness:[79, 0.6425913721140105]
     id:33 |fitness:[33, 0.6337968274909428]
     id:81 |fitness:[81, 0.6337968274909428]

Gen: 5
     id:79 |fitness:[79, 0.6425913721140105]
     id:94 |fitness:[94, 0.6425913721140105]
     id:8 |fitness:[8, 0.6371954049104955]
     id:33 |fitness:[33, 0.6337968274909428]
     id:62 |fitness:[62, 0.6337968274909428]
     id:67 |fitness:[67, 0.6337968274909428]
     id:73 |fitness:[73, 0.6337968274909428]
     id:78 |fitness:[78, 0.6337968274909428]
     id:81 |fitness:[81, 0.6337968274909428]
     id:90 |fitness:[90, 0.6337968274909428]

Gen: 6
     id:67 |fitness:[67, 0.6337968274909428]
     id:71 |fitness:[71, 0.6337968274909428]
     id:73 |fitness:[73, 0.6337968274909428]
     id:77 |fitness:[77, 0.6337968274909428]
     id:78 |fitness:[78, 0.6337968274909428]
     id:81 |fitness:[81, 0.6337968274909428]
     id:90 |fitness:[90, 0.6337968274909428]
     id:92 |fitness:[92, 0.6337968274909428]
     id:95 |fitness:[95, 0.6337968274909428]
     id:27 |fitness:[27, 0.5812916829609993]

Gen: 7
     id:78 |fitness:[78, 0.6337968274909428]
     id:80 |fitness:[80, 0.6337968274909428]
     id:81 |fitness:[81, 0.6337968274909428]
     id:84 |fitness:[84, 0.6337968274909428]
     id:88 |fitness:[88, 0.6337968274909428]
     id:89 |fitness:[89, 0.6337968274909428]
     id:90 |fitness:[90, 0.6337968274909428]
     id:92 |fitness:[92, 0.6337968274909428]
     id:95 |fitness:[95, 0.6337968274909428]
     id:27 |fitness:[27, 0.5812916829609993]

Gen: 8
     id:95 |fitness:[95, 0.6337968274909428]
     id:96 |fitness:[96, 0.6337968274909428]
     id:97 |fitness:[97, 0.6337968274909428]
     id:98 |fitness:[98, 0.6337968274909428]
     id:99 |fitness:[99, 0.6337968274909428]
     id:17 |fitness:[17, 0.5812916829609993]
     id:18 |fitness:[18, 0.5812916829609993]
     id:22 |fitness:[22, 0.5812916829609993]
     id:27 |fitness:[27, 0.5812916829609993]
     id:54 |fitness:[54, 0.5812916829609993]

Gen: 9
     id:99 |fitness:[99, 0.6337968274909428]
