Gen: 2
     id:49 |fitness:[49, 0.7489335425381007]
     id:84 |fitness:[84, 0.7457609246683528]
     id:23 |fitness:[23, 0.7412614013429782]
     id:22 |fitness:[22, 0.7402291873805287]
     id:87 |fitness:[87, 0.7264289188834554]
     id:9 |fitness:[9, 0.7182165194047879]
     id:57 |fitness:[57, 0.710006492289809]
     id:81 |fitness:[81, 0.7094863345811555]
     id:82 |fitness:[82, 0.7094605318294904]
     id:45 |fitness:[45, 0.6947831295894035]

Gen: 3
     id:87 |fitness:[87, 0.7264289188834554]
     id:9 |fitness:[9, 0.7182165194047879]
     id:57 |fitness:[57, 0.710006492289809]
     id:63 |fitness:[63, 0.710006492289809]
     id:25 |fitness:[25, 0.7094863345811555]
     id:33 |fitness:[33, 0.7094863345811555]
     id:81 |fitness:[81, 0.7094863345811555]
     id:82 |fitness:[82, 0.7094605318294904]
     id:45 |fitness:[45, 0.6947831295894035]
     id:13 |fitness:[13, 0.6797587702528652]

Gen: 4
     id:67 |fitness:[67, 0.7094863345811555]
     id:81 |fitness:[81, 0.7094863345811555]
     id:82 |fitness:[82, 0.7094605318294904]
     id:4 |fitness:[4, 0.6947831295894035]
     id:45 |fitness:[45, 0.6947831295894035]
     id:13 |fitness:[13, 0.6797587702528652]
     id:14 |fitness:[14, 0.6797587702528652]
     id:2 |fitness:[2, 0.6688695303536376]
     id:58 |fitness:[58, 0.6688695303536376]
     id:83 |fitness:[83, 0.6554654297284424]

Gen: 5
     id:73 |fitness:[73, 0.6797587702528652]
     id:2 |fitness:[2, 0.6688695303536376]
     id:3 |fitness:[3, 0.6688695303536376]
     id:20 |fitness:[20, 0.6688695303536376]
     id:51 |fitness:[51, 0.6688695303536376]
     id:58 |fitness:[58, 0.6688695303536376]
     id:60 |fitness:[60, 0.6688695303536376]
     id:74 |fitness:[74, 0.6688695303536376]
     id:86 |fitness:[86, 0.6688695303536376]
     id:83 |fitness:[83, 0.6554654297284424]

Gen: 6
     id:77 |fitness:[77, 0.6688695303536376]
