Gen: 2
     id:0 |fitness:[0, 1.71948365597575]
     id:2 |fitness:[2, 1.7049142993040354]
     id:22 |fitness:[22, 1.6875486535203295]
     id:77 |fitness:[77, 1.67648661725208]
     id:41 |fitness:[41, 1.6668573898092185]
     id:19 |fitness:[19, 1.6634127709271742]
     id:63 |fitness:[63, 1.6634127709271742]
     id:95 |fitness:[95, 1.6619321294050362]
     id:69 |fitness:[69, 1.6576092595076883]
     id:1 |fitness:[1, 1.6543147120188313]

Gen: 3
     id:88 |fitness:[88, 1.6619321294050362]
     id:95 |fitness:[95, 1.6619321294050362]
     id:10 |fitness:[10, 1.6576092595076883]
     id:50 |fitness:[50, 1.6576092595076883]
     id:69 |fitness:[69, 1.6576092595076883]
     id:1 |fitness:[1, 1.6543147120188313]
     id:13 |fitness:[13, 1.6543147120188313]
     id:17 |fitness:[17, 1.6543147120188313]
     id:28 |fitness:[28, 1.6543147120188313]
     id:8 |fitness:[8, 1.6136740513260144]

Gen: 4
     id:17 |fitness:[17, 1.6543147120188313]
     id:28 |fitness:[28, 1.6543147120188313]
     id:37 |fitness:[37, 1.6543147120188313]
     id:40 |fitness:[40, 1.6543147120188313]
     id:43 |fitness:[43, 1.6543147120188313]
     id:58 |fitness:[58, 1.6543147120188313]
     id:75 |fitness:[75, 1.6543147120188313]
     id:61 |fitness:[61, 1.649426783141029]
     id:8 |fitness:[8, 1.6136740513260144]
     id:18 |fitness:[18, 1.6136740513260144]

Gen: 5
     id:85 |fitness:[85, 1.6543147120188313]
     id:99 |fitness:[99, 1.6543147120188313]
     id:61 |fitness:[61, 1.649426783141029]
     id:67 |fitness:[67, 1.649426783141029]
     id:8 |fitness:[8, 1.6136740513260144]
     id:18 |fitness:[18, 1.6136740513260144]
     id:24 |fitness:[24, 1.6136740513260144]
     id:55 |fitness:[55, 1.6136740513260144]
     id:90 |fitness:[90, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]

Gen: 6
     id:52 |fitness:[52, 1.6136740513260144]
     id:53 |fitness:[53, 1.6136740513260144]
     id:55 |fitness:[55, 1.6136740513260144]
     id:64 |fitness:[64, 1.6136740513260144]
     id:72 |fitness:[72, 1.6136740513260144]
     id:74 |fitness:[74, 1.6136740513260144]
     id:90 |fitness:[90, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]

Gen: 7
     id:86 |fitness:[86, 1.6136740513260144]
     id:88 |fitness:[88, 1.6136740513260144]
     id:89 |fitness:[89, 1.6136740513260144]
     id:90 |fitness:[90, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]

Gen: 8
     id:88 |fitness:[88, 1.6136740513260144]
     id:89 |fitness:[89, 1.6136740513260144]
     id:90 |fitness:[90, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]

Gen: 9
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 10
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 11
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 12
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 13
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 14
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 15
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 16
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 17
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 18
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 19
     id:90 |fitness:[90, 1.6136740513260144]
     id:91 |fitness:[91, 1.6136740513260144]
     id:92 |fitness:[92, 1.6136740513260144]
     id:93 |fitness:[93, 1.6136740513260144]
     id:94 |fitness:[94, 1.6136740513260144]
     id:95 |fitness:[95, 1.6136740513260144]
     id:96 |fitness:[96, 1.6136740513260144]
     id:97 |fitness:[97, 1.6136740513260144]
     id:98 |fitness:[98, 1.6136740513260144]
     id:99 |fitness:[99, 1.6136740513260144]

Gen: 20
