Gen: 2
     id:2 |Total fit:1.0984813084156362 |fitness:[0.23743949876770495, 0.6136241249326871, 0.24741768471524395]
     id:10 |Total fit:1.237464220867513 |fitness:[0.24315556611337114, 0.7557154746169286, 0.2385931801372134]
     id:17 |Total fit:1.0048958266489354 |fitness:[0.23889449772842, 0.5141968962647476, 0.2518044326557678]
     id:22 |Total fit:0.9630474143618792 |fitness:[0.2698354960358702, 0.5141968962647476, 0.17901502206126144]
     id:23 |Total fit:1.099894064492917 |fitness:[0.2543872672744009, 0.6276741567533167, 0.21783264046519932]
     id:40 |Total fit:1.1156704161021374 |fitness:[0.23242866051014044, 0.6249082097224262, 0.25833354586957075]
     id:46 |Total fit:1.3105255651311016 |fitness:[0.22980817768803635, 0.7557154746169286, 0.32500191282613683]
     id:47 |Total fit:0.9912153035155942 |fitness:[0.24399441755500786, 0.5144171929309248, 0.23280369302966156]
     id:48 |Total fit:1.1893912983946262 |fitness:[0.21593372331264662, 0.7584814216478191, 0.21497615343416052]

Gen: 3
     id:2 |Total fit:1.0984813084156362 |fitness:[0.23743949876770495, 0.6136241249326871, 0.24741768471524395]
     id:10 |Total fit:1.237464220867513 |fitness:[0.24315556611337114, 0.7557154746169286, 0.2385931801372134]
     id:17 |Total fit:1.0048958266489354 |fitness:[0.23889449772842, 0.5141968962647476, 0.2518044326557678]
     id:22 |Total fit:0.9630474143618792 |fitness:[0.2698354960358702, 0.5141968962647476, 0.17901502206126144]
     id:23 |Total fit:1.099894064492917 |fitness:[0.2543872672744009, 0.6276741567533167, 0.21783264046519932]
     id:27 |Total fit:1.4827979000808331 |fitness:[0.19559343171897733, 1.0, 0.2872044683618557]
     id:40 |Total fit:1.1156704161021374 |fitness:[0.23242866051014044, 0.6249082097224262, 0.25833354586957075]
     id:46 |Total fit:1.3105255651311016 |fitness:[0.22980817768803635, 0.7557154746169286, 0.32500191282613683]
     id:47 |Total fit:0.9912153035155942 |fitness:[0.24399441755500786, 0.5144171929309248, 0.23280369302966156]
     id:48 |Total fit:1.1893912983946262 |fitness:[0.21593372331264662, 0.7584814216478191, 0.21497615343416052]

Gen: 4
     id:2 |Total fit:1.0984813084156362 |fitness:[0.23743949876770495, 0.6136241249326871, 0.24741768471524395]
     id:5 |Total fit:1.0661843691099955 |fitness:[0.2519969118389405, 0.6276741567533167, 0.18651330051773826]
     id:10 |Total fit:1.237464220867513 |fitness:[0.24315556611337114, 0.7557154746169286, 0.2385931801372134]
     id:17 |Total fit:1.0048958266489354 |fitness:[0.23889449772842, 0.5141968962647476, 0.2518044326557678]
     id:22 |Total fit:0.9630474143618792 |fitness:[0.2698354960358702, 0.5141968962647476, 0.17901502206126144]
     id:25 |Total fit:0.9945489241442517 |fitness:[0.2208035157525908, 0.5144171929309248, 0.25932821546073603]
     id:27 |Total fit:1.4827979000808331 |fitness:[0.19559343171897733, 1.0, 0.2872044683618557]
     id:40 |Total fit:1.1156704161021374 |fitness:[0.23242866051014044, 0.6249082097224262, 0.25833354586957075]
     id:47 |Total fit:0.9912153035155942 |fitness:[0.24399441755500786, 0.5144171929309248, 0.23280369302966156]
     id:48 |Total fit:1.1893912983946262 |fitness:[0.21593372331264662, 0.7584814216478191, 0.21497615343416052]

Gen: 5
     id:2 |Total fit:1.0984813084156362 |fitness:[0.23743949876770495, 0.6136241249326871, 0.24741768471524395]
     id:5 |Total fit:1.0661843691099955 |fitness:[0.2519969118389405, 0.6276741567533167, 0.18651330051773826]
     id:10 |Total fit:1.237464220867513 |fitness:[0.24315556611337114, 0.7557154746169286, 0.2385931801372134]
     id:17 |Total fit:1.0048958266489354 |fitness:[0.23889449772842, 0.5141968962647476, 0.2518044326557678]
     id:22 |Total fit:0.9630474143618792 |fitness:[0.2698354960358702, 0.5141968962647476, 0.17901502206126144]
     id:25 |Total fit:0.9945489241442517 |fitness:[0.2208035157525908, 0.5144171929309248, 0.25932821546073603]
     id:27 |Total fit:1.4827979000808331 |fitness:[0.19559343171897733, 1.0, 0.2872044683618557]
     id:40 |Total fit:1.1156704161021374 |fitness:[0.23242866051014044, 0.6249082097224262, 0.25833354586957075]
     id:47 |Total fit:0.9912153035155942 |fitness:[0.24399441755500786, 0.5144171929309248, 0.23280369302966156]
     id:48 |Total fit:1.1893912983946262 |fitness:[0.21593372331264662, 0.7584814216478191, 0.21497615343416052]
     id:49 |Total fit:0.9574735031335517 |fitness:[0.24418742762122517, 0.5171831399618152, 0.19610293555051136]

Gen: 6
     id:2 |Total fit:1.0984813084156362 |fitness:[0.23743949876770495, 0.6136241249326871, 0.24741768471524395]
     id:5 |Total fit:1.0661843691099955 |fitness:[0.2519969118389405, 0.6276741567533167, 0.18651330051773826]
     id:10 |Total fit:1.237464220867513 |fitness:[0.24315556611337114, 0.7557154746169286, 0.2385931801372134]
     id:17 |Total fit:1.0048958266489354 |fitness:[0.23889449772842, 0.5141968962647476, 0.2518044326557678]
     id:22 |Total fit:0.9630474143618792 |fitness:[0.2698354960358702, 0.5141968962647476, 0.17901502206126144]
     id:25 |Total fit:0.9945489241442517 |fitness:[0.2208035157525908, 0.5144171929309248, 0.25932821546073603]
     id:27 |Total fit:1.4827979000808331 |fitness:[0.19559343171897733, 1.0, 0.2872044683618557]
     id:28 |Total fit:1.107512430328979 |fitness:[0.227737031208243, 0.6278944534194938, 0.2518809457012421]
     id:40 |Total fit:1.1156704161021374 |fitness:[0.23242866051014044, 0.6249082097224262, 0.25833354586957075]
     id:47 |Total fit:0.9912153035155942 |fitness:[0.24399441755500786, 0.5144171929309248, 0.23280369302966156]
     id:48 |Total fit:1.1893912983946262 |fitness:[0.21593372331264662, 0.7584814216478191, 0.21497615343416052]
