Gen: 2
     id:50 |fitness:[50, 1.1106290050668102]
     id:27 |fitness:[27, 1.0887888016211]
     id:14 |fitness:[14, 1.0711707471026415]
     id:53 |fitness:[53, 1.0602922714069671]
     id:93 |fitness:[93, 1.0499294030016455]
     id:23 |fitness:[23, 1.0483115412677295]
     id:47 |fitness:[47, 1.037113403734126]
     id:43 |fitness:[43, 1.0333933853687844]
     id:1 |fitness:[1, 1.031250079558675]
     id:16 |fitness:[16, 0.9849318638519982]

Gen: 3
     id:11 |fitness:[11, 1.0333933853687844]
     id:43 |fitness:[43, 1.0333933853687844]
     id:57 |fitness:[57, 1.0333933853687844]
     id:68 |fitness:[68, 1.0333933853687844]
     id:1 |fitness:[1, 1.031250079558675]
     id:79 |fitness:[79, 1.031250079558675]
     id:81 |fitness:[81, 1.031250079558675]
     id:16 |fitness:[16, 0.9849318638519982]
     id:21 |fitness:[21, 0.9849318638519982]
     id:42 |fitness:[42, 0.9849318638519982]

Gen: 4
     id:79 |fitness:[79, 1.031250079558675]
     id:80 |fitness:[80, 1.031250079558675]
     id:81 |fitness:[81, 1.031250079558675]
     id:87 |fitness:[87, 1.031250079558675]
     id:16 |fitness:[16, 0.9849318638519982]
     id:21 |fitness:[21, 0.9849318638519982]
     id:31 |fitness:[31, 0.9849318638519982]
     id:42 |fitness:[42, 0.9849318638519982]
     id:74 |fitness:[74, 0.9849318638519982]
     id:18 |fitness:[18, 0.9677561255903181]

Gen: 5
     id:31 |fitness:[31, 0.9849318638519982]
     id:36 |fitness:[36, 0.9849318638519982]
     id:37 |fitness:[37, 0.9849318638519982]
     id:40 |fitness:[40, 0.9849318638519982]
     id:42 |fitness:[42, 0.9849318638519982]
     id:63 |fitness:[63, 0.9849318638519982]
     id:74 |fitness:[74, 0.9849318638519982]
     id:94 |fitness:[94, 0.9849318638519982]
     id:98 |fitness:[98, 0.9849318638519982]
     id:18 |fitness:[18, 0.9677561255903181]

Gen: 6
     id:63 |fitness:[63, 0.9849318638519982]
     id:66 |fitness:[66, 0.9849318638519982]
     id:74 |fitness:[74, 0.9849318638519982]
     id:76 |fitness:[76, 0.9849318638519982]
     id:84 |fitness:[84, 0.9849318638519982]
     id:94 |fitness:[94, 0.9849318638519982]
     id:98 |fitness:[98, 0.9849318638519982]
     id:18 |fitness:[18, 0.9677561255903181]
     id:45 |fitness:[45, 0.9677561255903181]
     id:48 |fitness:[48, 0.9677561255903181]

Gen: 7
     id:94 |fitness:[94, 0.9849318638519982]
     id:97 |fitness:[97, 0.9849318638519982]
     id:98 |fitness:[98, 0.9849318638519982]
     id:99 |fitness:[99, 0.9849318638519982]
     id:18 |fitness:[18, 0.9677561255903181]
     id:45 |fitness:[45, 0.9677561255903181]
     id:48 |fitness:[48, 0.9677561255903181]
     id:59 |fitness:[59, 0.9677561255903181]
     id:69 |fitness:[69, 0.9677561255903181]
     id:90 |fitness:[90, 0.9677561255903181]

Gen: 8
     id:45 |fitness:[45, 0.9677561255903181]
     id:47 |fitness:[47, 0.9677561255903181]
     id:48 |fitness:[48, 0.9677561255903181]
     id:55 |fitness:[55, 0.9677561255903181]
     id:57 |fitness:[57, 0.9677561255903181]
     id:59 |fitness:[59, 0.9677561255903181]
     id:62 |fitness:[62, 0.9677561255903181]
     id:69 |fitness:[69, 0.9677561255903181]
     id:90 |fitness:[90, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]

Gen: 9
     id:69 |fitness:[69, 0.9677561255903181]
     id:72 |fitness:[72, 0.9677561255903181]
     id:77 |fitness:[77, 0.9677561255903181]
     id:79 |fitness:[79, 0.9677561255903181]
     id:80 |fitness:[80, 0.9677561255903181]
     id:81 |fitness:[81, 0.9677561255903181]
     id:86 |fitness:[86, 0.9677561255903181]
     id:87 |fitness:[87, 0.9677561255903181]
     id:90 |fitness:[90, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]

Gen: 10
     id:69 |fitness:[69, 0.9677561255903181]
     id:72 |fitness:[72, 0.9677561255903181]
     id:77 |fitness:[77, 0.9677561255903181]
     id:79 |fitness:[79, 0.9677561255903181]
     id:80 |fitness:[80, 0.9677561255903181]
     id:81 |fitness:[81, 0.9677561255903181]
     id:86 |fitness:[86, 0.9677561255903181]
     id:87 |fitness:[87, 0.9677561255903181]
     id:90 |fitness:[90, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]

Gen: 11
     id:84 |fitness:[84, 0.9677561255903181]
     id:85 |fitness:[85, 0.9677561255903181]
     id:86 |fitness:[86, 0.9677561255903181]
     id:87 |fitness:[87, 0.9677561255903181]
     id:88 |fitness:[88, 0.9677561255903181]
     id:89 |fitness:[89, 0.9677561255903181]
     id:90 |fitness:[90, 0.9677561255903181]
     id:91 |fitness:[91, 0.9677561255903181]
     id:92 |fitness:[92, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]

Gen: 12
     id:91 |fitness:[91, 0.9677561255903181]
     id:92 |fitness:[92, 0.9677561255903181]
     id:93 |fitness:[93, 0.9677561255903181]
     id:94 |fitness:[94, 0.9677561255903181]
     id:95 |fitness:[95, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]
     id:97 |fitness:[97, 0.9677561255903181]
     id:98 |fitness:[98, 0.9677561255903181]
     id:99 |fitness:[99, 0.9677561255903181]
     id:31 |fitness:[31, 0.9575730782054792]

Gen: 13
     id:92 |fitness:[92, 0.9677561255903181]
     id:93 |fitness:[93, 0.9677561255903181]
     id:94 |fitness:[94, 0.9677561255903181]
     id:95 |fitness:[95, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]
     id:97 |fitness:[97, 0.9677561255903181]
     id:98 |fitness:[98, 0.9677561255903181]
     id:99 |fitness:[99, 0.9677561255903181]
     id:31 |fitness:[31, 0.9575730782054792]
     id:37 |fitness:[37, 0.926378530572386]

Gen: 14
     id:94 |fitness:[94, 0.9677561255903181]
     id:95 |fitness:[95, 0.9677561255903181]
     id:96 |fitness:[96, 0.9677561255903181]
     id:97 |fitness:[97, 0.9677561255903181]
     id:98 |fitness:[98, 0.9677561255903181]
     id:99 |fitness:[99, 0.9677561255903181]
     id:31 |fitness:[31, 0.9575730782054792]
     id:7 |fitness:[7, 0.926378530572386]
     id:16 |fitness:[16, 0.926378530572386]
     id:37 |fitness:[37, 0.926378530572386]

Gen: 15
     id:31 |fitness:[31, 0.9575730782054792]
     id:22 |fitness:[22, 0.9429121348557304]
     id:0 |fitness:[0, 0.926378530572386]
     id:7 |fitness:[7, 0.926378530572386]
     id:9 |fitness:[9, 0.926378530572386]
     id:12 |fitness:[12, 0.926378530572386]
     id:16 |fitness:[16, 0.926378530572386]
     id:30 |fitness:[30, 0.926378530572386]
     id:32 |fitness:[32, 0.926378530572386]
     id:37 |fitness:[37, 0.926378530572386]

Gen: 16
     id:25 |fitness:[25, 0.926378530572386]
     id:26 |fitness:[26, 0.926378530572386]
     id:27 |fitness:[27, 0.926378530572386]
     id:30 |fitness:[30, 0.926378530572386]
