Gen: 2
     id:56 |fitness:[56, 1.2102802524975735]
     id:76 |fitness:[76, 1.187330740782341]
     id:80 |fitness:[80, 1.1861616895736207]
     id:4 |fitness:[4, 1.1833915850897894]
     id:69 |fitness:[69, 1.1318574262177226]
     id:82 |fitness:[82, 1.1046210024690206]
     id:17 |fitness:[17, 1.0380167494263564]
     id:29 |fitness:[29, 1.0358543271571556]
     id:75 |fitness:[75, 0.927876544104768]
     id:1 |fitness:[1, 0.9170501280636223]

Gen: 3
     id:12 |fitness:[12, 1.0358543271571556]
     id:29 |fitness:[29, 1.0358543271571556]
     id:32 |fitness:[32, 1.0358543271571556]
     id:67 |fitness:[67, 1.0358543271571556]
     id:16 |fitness:[16, 0.927876544104768]
     id:75 |fitness:[75, 0.927876544104768]
     id:1 |fitness:[1, 0.9170501280636223]
     id:31 |fitness:[31, 0.9170501280636223]
     id:46 |fitness:[46, 0.9170501280636223]
     id:50 |fitness:[50, 0.9170501280636223]

Gen: 4
     id:38 |fitness:[38, 0.9170501280636223]
     id:44 |fitness:[44, 0.9170501280636223]
     id:46 |fitness:[46, 0.9170501280636223]
     id:47 |fitness:[47, 0.9170501280636223]
     id:50 |fitness:[50, 0.9170501280636223]
     id:54 |fitness:[54, 0.9170501280636223]
     id:55 |fitness:[55, 0.9170501280636223]
     id:72 |fitness:[72, 0.9170501280636223]
     id:88 |fitness:[88, 0.9170501280636223]
     id:37 |fitness:[37, 0.8800506772460088]

Gen: 5
     id:60 |fitness:[60, 0.9170501280636223]
     id:61 |fitness:[61, 0.9170501280636223]
     id:72 |fitness:[72, 0.9170501280636223]
     id:85 |fitness:[85, 0.9170501280636223]
     id:87 |fitness:[87, 0.9170501280636223]
     id:88 |fitness:[88, 0.9170501280636223]
     id:92 |fitness:[92, 0.9170501280636223]
     id:0 |fitness:[0, 0.8841102642456349]
     id:28 |fitness:[28, 0.8800506772460088]
     id:37 |fitness:[37, 0.8800506772460088]

Gen: 6
     id:94 |fitness:[94, 0.9170501280636223]
     id:95 |fitness:[95, 0.9170501280636223]
     id:96 |fitness:[96, 0.9170501280636223]
     id:0 |fitness:[0, 0.8841102642456349]
     id:27 |fitness:[27, 0.8841102642456349]
     id:22 |fitness:[22, 0.8800506772460088]
     id:28 |fitness:[28, 0.8800506772460088]
     id:37 |fitness:[37, 0.8800506772460088]
     id:41 |fitness:[41, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]

Gen: 7
     id:9 |fitness:[9, 0.8800506772460088]
     id:22 |fitness:[22, 0.8800506772460088]
     id:23 |fitness:[23, 0.8800506772460088]
     id:28 |fitness:[28, 0.8800506772460088]
     id:37 |fitness:[37, 0.8800506772460088]
     id:41 |fitness:[41, 0.8800506772460088]
     id:76 |fitness:[76, 0.8800506772460088]
     id:81 |fitness:[81, 0.8800506772460088]
     id:83 |fitness:[83, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]

Gen: 8
     id:71 |fitness:[71, 0.8800506772460088]
     id:76 |fitness:[76, 0.8800506772460088]
     id:78 |fitness:[78, 0.8800506772460088]
     id:80 |fitness:[80, 0.8800506772460088]
     id:81 |fitness:[81, 0.8800506772460088]
     id:82 |fitness:[82, 0.8800506772460088]
     id:83 |fitness:[83, 0.8800506772460088]
     id:84 |fitness:[84, 0.8800506772460088]
     id:89 |fitness:[89, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]

Gen: 9
     id:71 |fitness:[71, 0.8800506772460088]
     id:76 |fitness:[76, 0.8800506772460088]
     id:78 |fitness:[78, 0.8800506772460088]
     id:80 |fitness:[80, 0.8800506772460088]
     id:81 |fitness:[81, 0.8800506772460088]
     id:82 |fitness:[82, 0.8800506772460088]
     id:83 |fitness:[83, 0.8800506772460088]
     id:84 |fitness:[84, 0.8800506772460088]
     id:89 |fitness:[89, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]

Gen: 10
     id:77 |fitness:[77, 0.8800506772460088]
     id:78 |fitness:[78, 0.8800506772460088]
     id:79 |fitness:[79, 0.8800506772460088]
     id:80 |fitness:[80, 0.8800506772460088]
     id:81 |fitness:[81, 0.8800506772460088]
     id:82 |fitness:[82, 0.8800506772460088]
     id:83 |fitness:[83, 0.8800506772460088]
     id:84 |fitness:[84, 0.8800506772460088]
     id:89 |fitness:[89, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]

Gen: 11
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 12
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 13
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 14
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 15
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 16
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 17
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 18
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 19
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 20
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 21
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 22
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 23
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 24
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 25
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 26
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 27
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
     id:99 |fitness:[99, 0.8800506772460088]

Gen: 28
     id:90 |fitness:[90, 0.8800506772460088]
     id:91 |fitness:[91, 0.8800506772460088]
     id:92 |fitness:[92, 0.8800506772460088]
     id:93 |fitness:[93, 0.8800506772460088]
     id:94 |fitness:[94, 0.8800506772460088]
     id:95 |fitness:[95, 0.8800506772460088]
     id:96 |fitness:[96, 0.8800506772460088]
     id:97 |fitness:[97, 0.8800506772460088]
     id:98 |fitness:[98, 0.8800506772460088]
