Gen: 2
     id:6 |Total fit:1.295498212176556 |fitness:[0.1777243135013728, 0.752821377610585, 0.3649525210645981]
     id:7 |Total fit:1.2403345122336655 |fitness:[0.1812472274287724, 0.6840705668698923, 0.3750167179350007]
     id:16 |Total fit:1.222588582683785 |fitness:[0.2017452711424792, 0.752821377610585, 0.2680219339307209]
     id:27 |Total fit:1.2258158519834983 |fitness:[0.22873362934069755, 0.7653716435335323, 0.23171057910926843]
     id:36 |Total fit:1.2036263863531937 |fitness:[0.18265599334982555, 0.6840705668698923, 0.33689982613347597]
     id:48 |Total fit:1.1685186250372477 |fitness:[0.1864007129754335, 0.6840705668698923, 0.2980473451919219]

Gen: 3
     id:5 |Total fit:1.2793014329014147 |fitness:[0.22280482297507384, 0.7977364119859904, 0.25876019794035043]
     id:6 |Total fit:1.295498212176556 |fitness:[0.1777243135013728, 0.752821377610585, 0.3649525210645981]
     id:7 |Total fit:1.2403345122336655 |fitness:[0.1812472274287724, 0.6840705668698923, 0.3750167179350007]
     id:16 |Total fit:1.222588582683785 |fitness:[0.2017452711424792, 0.752821377610585, 0.2680219339307209]
     id:27 |Total fit:1.2258158519834983 |fitness:[0.22873362934069755, 0.7653716435335323, 0.23171057910926843]
     id:36 |Total fit:1.2036263863531937 |fitness:[0.18265599334982555, 0.6840705668698923, 0.33689982613347597]
     id:48 |Total fit:1.1685186250372477 |fitness:[0.1864007129754335, 0.6840705668698923, 0.2980473451919219]

Gen: 4
     id:5 |Total fit:1.2793014329014147 |fitness:[0.22280482297507384, 0.7977364119859904, 0.25876019794035043]
     id:6 |Total fit:1.295498212176556 |fitness:[0.1777243135013728, 0.752821377610585, 0.3649525210645981]
     id:7 |Total fit:1.2403345122336655 |fitness:[0.1812472274287724, 0.6840705668698923, 0.3750167179350007]
     id:16 |Total fit:1.222588582683785 |fitness:[0.2017452711424792, 0.752821377610585, 0.2680219339307209]
     id:27 |Total fit:1.2258158519834983 |fitness:[0.22873362934069755, 0.7653716435335323, 0.23171057910926843]
     id:36 |Total fit:1.2036263863531937 |fitness:[0.18265599334982555, 0.6840705668698923, 0.33689982613347597]
     id:48 |Total fit:1.1685186250372477 |fitness:[0.1864007129754335, 0.6840705668698923, 0.2980473451919219]

Gen: 5
     id:2 |Total fit:1.1625817430923608 |fitness:[0.20821560313165666, 0.6840705668698923, 0.2702955730908118]
     id:5 |Total fit:1.2793014329014147 |fitness:[0.22280482297507384, 0.7977364119859904, 0.25876019794035043]
     id:6 |Total fit:1.295498212176556 |fitness:[0.1777243135013728, 0.752821377610585, 0.3649525210645981]
     id:7 |Total fit:1.2403345122336655 |fitness:[0.1812472274287724, 0.6840705668698923, 0.3750167179350007]
     id:16 |Total fit:1.222588582683785 |fitness:[0.2017452711424792, 0.752821377610585, 0.2680219339307209]
     id:27 |Total fit:1.2258158519834983 |fitness:[0.22873362934069755, 0.7653716435335323, 0.23171057910926843]
     id:36 |Total fit:1.2036263863531937 |fitness:[0.18265599334982555, 0.6840705668698923, 0.33689982613347597]
     id:48 |Total fit:1.1685186250372477 |fitness:[0.1864007129754335, 0.6840705668698923, 0.2980473451919219]

Gen: 6
     id:5 |Total fit:1.2793014329014147 |fitness:[0.22280482297507384, 0.7977364119859904, 0.25876019794035043]
     id:6 |Total fit:1.295498212176556 |fitness:[0.1777243135013728, 0.752821377610585, 0.3649525210645981]
     id:7 |Total fit:1.2403345122336655 |fitness:[0.1812472274287724, 0.6840705668698923, 0.3750167179350007]
