Gen: 2
     id:72 |fitness:[72, 1.2199491885830962]
     id:43 |fitness:[43, 1.2179596866306739]
     id:42 |fitness:[42, 1.1971396665746934]
     id:18 |fitness:[18, 1.1833967672598378]
     id:85 |fitness:[85, 1.1802562301849646]
     id:93 |fitness:[93, 1.1635836082625206]
     id:65 |fitness:[65, 1.0744396627198194]
     id:27 |fitness:[27, 1.027924045919467]
     id:28 |fitness:[28, 0.9912657164789567]
     id:80 |fitness:[80, 0.9210531435596736]

Gen: 3
     id:65 |fitness:[65, 1.0744396627198194]
     id:17 |fitness:[17, 1.0364558599089764]
     id:58 |fitness:[58, 1.030966240412691]
     id:12 |fitness:[12, 1.027924045919467]
     id:27 |fitness:[27, 1.027924045919467]
     id:28 |fitness:[28, 0.9912657164789567]
     id:39 |fitness:[39, 0.9912657164789567]
     id:80 |fitness:[80, 0.9210531435596736]
     id:90 |fitness:[90, 0.9210531435596736]
     id:92 |fitness:[92, 0.8745274530592906]

Gen: 4
     id:39 |fitness:[39, 0.9912657164789567]
     id:82 |fitness:[82, 0.9912657164789567]
     id:31 |fitness:[31, 0.9210531435596736]
     id:57 |fitness:[57, 0.9210531435596736]
     id:69 |fitness:[69, 0.9210531435596736]
     id:80 |fitness:[80, 0.9210531435596736]
     id:90 |fitness:[90, 0.9210531435596736]
     id:44 |fitness:[44, 0.8745274530592906]
     id:92 |fitness:[92, 0.8745274530592906]
     id:87 |fitness:[87, 0.8706372439795356]

Gen: 5
     id:90 |fitness:[90, 0.9210531435596736]
     id:96 |fitness:[96, 0.9062549672875095]
     id:6 |fitness:[6, 0.8745274530592906]
     id:8 |fitness:[8, 0.8745274530592906]
     id:44 |fitness:[44, 0.8745274530592906]
     id:92 |fitness:[92, 0.8745274530592906]
     id:7 |fitness:[7, 0.8706372439795356]
     id:45 |fitness:[45, 0.8706372439795356]
     id:53 |fitness:[53, 0.8706372439795356]
     id:87 |fitness:[87, 0.8706372439795356]

Gen: 6
     id:30 |fitness:[30, 0.8706372439795356]
     id:38 |fitness:[38, 0.8706372439795356]
     id:45 |fitness:[45, 0.8706372439795356]
     id:53 |fitness:[53, 0.8706372439795356]
     id:54 |fitness:[54, 0.8706372439795356]
     id:62 |fitness:[62, 0.8706372439795356]
     id:63 |fitness:[63, 0.8706372439795356]
     id:70 |fitness:[70, 0.8706372439795356]
     id:87 |fitness:[87, 0.8706372439795356]
     id:89 |fitness:[89, 0.8706372439795356]

Gen: 7
     id:74 |fitness:[74, 0.8706372439795356]
     id:75 |fitness:[75, 0.8706372439795356]
     id:78 |fitness:[78, 0.8706372439795356]
     id:81 |fitness:[81, 0.8706372439795356]
     id:84 |fitness:[84, 0.8706372439795356]
     id:86 |fitness:[86, 0.8706372439795356]
