Gen:0 
1.2885644539204255:[0.19518117038545135, 0.8017443097213359, 0.2916389738136382]
1.0361904051458084:[0.20853165323135334, 0.5293402619503449, 0.2983184899641101]
1.204934725186865:[0.23903623407709026, 0.7275959522290091, 0.23830253888076566]
0.9435285384728114:[0.22197155198503316, 0.4706597380496551, 0.2508972484381231]
1.1998782450420677:[0.21659971937161251, 0.7275959522290091, 0.25568257344144624]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
1.2476171033763606:[0.1850978072468154, 0.7274136202023885, 0.33510567592715673]
1.2272856828328125:[0.19809750460835832, 0.7274136202023885, 0.30177455802206565]
1.225388163172628:[0.21157179409579882, 0.7432461178472666, 0.2705702512295627]

Gen:1 
1.204934725186865:[0.23903623407709026, 0.7275959522290091, 0.23830253888076566]
0.9435285384728114:[0.22197155198503316, 0.4706597380496551, 0.2508972484381231]
1.1998782450420677:[0.21659971937161251, 0.7275959522290091, 0.25568257344144624]
1.229509454511825:[0.22049275043332325, 0.7274136202023885, 0.28160308387611327]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
1.2476171033763606:[0.1850978072468154, 0.7274136202023885, 0.33510567592715673]
1.0046402225656177:[0.1913706770847663, 0.5293402619503449, 0.28392928353050645]
1.225388163172628:[0.21157179409579882, 0.7432461178472666, 0.2705702512295627]

Gen:2 
1.204934725186865:[0.23903623407709026, 0.7275959522290091, 0.23830253888076566]
0.9435285384728114:[0.22197155198503316, 0.4706597380496551, 0.2508972484381231]
1.182878235294366:[0.20410212672297576, 0.7274136202023885, 0.2513624883690017]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
1.2476171033763606:[0.1850978072468154, 0.7274136202023885, 0.33510567592715673]
1.0046402225656177:[0.1913706770847663, 0.5293402619503449, 0.28392928353050645]

Gen:3 
1.204934725186865:[0.23903623407709026, 0.7275959522290091, 0.23830253888076566]
0.9435285384728114:[0.22197155198503316, 0.4706597380496551, 0.2508972484381231]
1.182878235294366:[0.20410212672297576, 0.7274136202023885, 0.2513624883690017]
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
1.3171690287827325:[0.1813492172668996, 0.8017443097213359, 0.33407550179449685]
0.9369969422487963:[0.1869273942828844, 0.4706597380496551, 0.2794098099162568]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
1.2476171033763606:[0.1850978072468154, 0.7274136202023885, 0.33510567592715673]

Gen:4 
1.204934725186865:[0.23903623407709026, 0.7275959522290091, 0.23830253888076566]
0.9435285384728114:[0.22197155198503316, 0.4706597380496551, 0.2508972484381231]
